country,indicator,column,n_obs,regression,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_1pct,adf_crit_5pct,adf_crit_10pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_1pct,kpss_crit_5pct,kpss_crit_10pct,kpss_interp_flag,kpss_error,classification
USA,CPI,USA_CPI,298,ct,-1.0456304112177415,0.937651987978216,15,282,-3.9912366506582964,-3.4261744436988733,-3.1362691484545815,15,,0.419171700666227,0.01,10,0.216,0.146,0.119,True,,Non-stationary
USA,POLICY_RATE,USA_POLICY_RATE,298,c,-2.7088869158945093,0.07251302907911586,5,292,-3.4529449243622383,-2.871489553425686,-2.572071437887033,15,,0.3422666255643626,0.1,10,0.739,0.463,0.347,True,,Inconclusive
USA,UNEMPLOYMENT,USA_UNEMPLOYMENT,298,c,-2.954080131557924,0.03941099488396634,0,297,-3.4525611751768914,-2.87132117782556,-2.5719816428028888,15,,0.5494997245718586,0.0305180800513832,10,0.739,0.463,0.347,False,,Trend-stationary (conflict)
USA,GDP,USA_GDP,298,c,-3.233555025248202,0.018122708852663105,13,284,-3.4535872903895797,-2.871771355211212,-2.5722217283277127,15,,0.30868150914293835,0.1,10,0.739,0.463,0.347,True,,Stationary
USA,M2,USA_M2,298,c,-3.5775833214598634,0.006204334678119258,13,284,-3.4535872903895797,-2.871771355211212,-2.5722217283277127,15,,0.07912201868690624,0.1,10,0.739,0.463,0.347,True,,Stationary
JAPAN,CPI,JAPAN_CPI,298,ct,0.16521557614030558,0.9955689638460304,12,285,-3.990891049175725,-3.4260081188921827,-3.1361715700377446,15,,0.5215288746625066,0.01,10,0.216,0.146,0.119,True,,Non-stationary
JAPAN,POLICY_RATE,JAPAN_POLICY_RATE,298,c,-2.315717581572652,0.16694883583878967,6,291,-3.4530232710482367,-2.871523926671883,-2.5720897694878424,15,,0.28074759097164936,0.1,10,0.739,0.463,0.347,True,,Inconclusive
JAPAN,UNEMPLOYMENT,JAPAN_UNEMPLOYMENT,298,c,-1.6055161977720307,0.4808219659440571,15,282,-3.4537536300652,-2.8718443180148836,-2.572260641818822,15,,2.3541818373875545,0.01,10,0.739,0.463,0.347,True,,Non-stationary
JAPAN,GDP,JAPAN_GDP,298,c,-3.9239503393125177,0.0018654879962973422,13,284,-3.4535872903895797,-2.871771355211212,-2.5722217283277127,15,,0.0427658084074453,0.1,10,0.739,0.463,0.347,True,,Stationary
JAPAN,M2,JAPAN_M2,298,c,-1.8786253030381026,0.34218227760928077,13,284,-3.4535872903895797,-2.871771355211212,-2.5722217283277127,15,,0.9098752488177863,0.01,10,0.739,0.463,0.347,True,,Non-stationary
UK,CPI,UK_CPI,291,ct,-0.9369307322760433,0.9520271561965752,15,275,-3.9920727218031553,-3.426576756976709,-3.136505158767844,15,,0.32891783277194425,0.01,10,0.216,0.146,0.119,True,,Non-stationary
UK,POLICY_RATE,UK_POLICY_RATE,291,c,-1.8543822259284575,0.3538158151231091,14,276,-3.4542672521624214,-2.87206958769775,-2.5723807881747534,15,,0.9534358646478176,0.01,10,0.739,0.463,0.347,True,,Non-stationary
UK,UNEMPLOYMENT,UK_UNEMPLOYMENT,291,c,-1.3423131664142236,0.6095986695584094,12,278,-3.4540935579190495,-2.8719934111688965,-2.5723401594120388,15,,0.7921584557082508,0.01,10,0.739,0.463,0.347,True,,Non-stationary
UK,GDP,UK_GDP,291,c,-4.4688682463926925,0.00022374093099988325,13,277,-3.4541800885158525,-2.872031361137725,-2.5723603999791473,15,,0.044406367843800934,0.1,10,0.739,0.463,0.347,True,,Stationary
UK,M2,UK_M2,291,c,-2.431237462759552,0.13311323661560304,15,275,-3.454355055831705,-2.8721080938842976,-2.572401325619835,15,,0.8092152901867345,0.01,10,0.739,0.463,0.347,True,,Non-stationary
GERMANY,CPI,GERMANY_CPI,291,ct,-2.3585862109837836,0.4018545176307141,12,278,-3.9917091901550443,-3.4264018370662406,-3.13640254779252,15,,0.3498113391633122,0.01,10,0.216,0.146,0.119,True,,Non-stationary
GERMANY,POLICY_RATE,GERMANY_POLICY_RATE,291,c,-2.8679701336180536,0.04920142838479238,6,284,-3.4535872903895797,-2.871771355211212,-2.5722217283277127,15,,1.056714488097565,0.01,10,0.739,0.463,0.347,True,,Trend-stationary (conflict)
GERMANY,UNEMPLOYMENT,GERMANY_UNEMPLOYMENT,291,c,-0.8320434224402675,0.8095279034354744,3,287,-3.453342167806272,-2.871663828287282,-2.572164381381345,15,,2.412245672420154,0.01,10,0.739,0.463,0.347,True,,Non-stationary
GERMANY,GDP,GERMANY_GDP,291,c,-3.820851495968984,0.002701038634099048,13,277,-3.4541800885158525,-2.872031361137725,-2.5723603999791473,15,,0.3286629029848314,0.1,10,0.739,0.463,0.347,True,,Stationary
GERMANY,M2,GERMANY_M2,291,c,-2.6608222551646143,0.08106652362967959,15,275,-3.454355055831705,-2.8721080938842976,-2.572401325619835,15,,0.46658728288867884,0.04919205340345072,10,0.739,0.463,0.347,False,,Non-stationary
