country,indicator,chow_test_input,base_form_tested,break_name,break_date,window,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag,col_key
USA,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,pre_break,2002-01,2008-08,-1.9870934659053978,0.2922606794520934,10,69,-2.9044395987933362,11,,0.8568780369342686,0.01,5,0.463,True,,Non-stationary,80,False,False,GFC_2008|pre_break
USA,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,post_break,2008-09,2025-10,-2.228535541380461,0.19605216525485675,13,192,-2.876714157488788,14,,0.7319163936994445,0.010643964209141408,9,0.463,False,,Non-stationary,206,False,False,GFC_2008|post_break
USA,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,pre_break,2002-01,2020-02,-2.214406702882195,0.20105826722584974,13,204,-2.8758145932936805,14,,0.3744979312784476,0.08814744341446223,9,0.463,False,,Inconclusive,218,False,False,COVID_2020|pre_break
USA,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,post_break,2020-03,2025-10,-3.76318125616509,0.0033072990869245744,10,57,-2.913766394626147,10,,0.245223552850225,0.1,5,0.463,True,,Stationary,68,False,False,COVID_2020|post_break
USA,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,pre_break,2002-01,2022-01,-1.6226609664194631,0.47133453248081636,13,227,-2.8743581895178485,14,,0.18174652725858495,0.1,9,0.463,True,,Inconclusive,241,False,False,ENERGY_2022|pre_break
USA,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-4.364955249925598,0.0003422159661361117,7,37,-2.9435394610388332,9,,0.8143749091876504,0.01,4,0.463,True,,Trend-stationary (conflict),45,True,False,ENERGY_2022|post_break
USA,POLICY_RATE,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-3.0545860761938597,0.03010172323571195,3,87,-2.895382030636155,11,,0.3736011841492806,0.08853397234944801,5,0.463,False,,Stationary,91,False,False,GFC_2008|pre_break
USA,POLICY_RATE,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-10,-3.560614929172771,0.006560195273158705,4,201,-2.876029332045744,14,,0.21648229616693349,0.1,8,0.463,True,,Stationary,206,False,False,GFC_2008|post_break
USA,POLICY_RATE,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-3.866272494116451,0.0022975713231167035,8,220,-2.874768966942149,14,,0.25702986894482516,0.1,8,0.463,True,,Stationary,229,False,False,COVID_2020|pre_break
USA,POLICY_RATE,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-10,-1.780137017469249,0.390366743577093,3,64,-2.907887369384766,10,,0.2509060593385026,0.1,4,0.463,True,,Inconclusive,68,False,False,COVID_2020|post_break
USA,POLICY_RATE,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-3.704905163130133,0.004044685271611704,7,244,-2.873459364726563,15,,0.17220941060910094,0.1,8,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
USA,POLICY_RATE,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-1.40445026498669,0.5801407556939604,4,40,-2.937069375,9,,0.6786858771398933,0.015483102078191521,4,0.463,False,,Non-stationary,45,True,False,ENERGY_2022|post_break
USA,UNEMPLOYMENT,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-1.8835266164495883,0.33984994906538235,4,86,-2.895783561573195,11,,0.3225122529177518,0.1,4,0.463,True,,Inconclusive,91,False,False,GFC_2008|pre_break
