country,indicator,column,transform,regression,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_1pct,adf_crit_5pct,adf_crit_10pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_1pct,kpss_crit_5pct,kpss_crit_10pct,kpss_interp_flag,kpss_error,classification,n_obs
USA,CPI,USA_CPI,level,ct,-1.0456304112177415,0.937651987978216,15,282,-3.9912366506582964,-3.4261744436988733,-3.1362691484545815,15,,0.419171700666227,0.01,10,0.216,0.146,0.119,True,,Non-stationary,298
USA,CPI,USA_CPI,first_diff,c,-2.6659043315120026,0.08012640864440368,14,282,-3.4537536300652,-2.8718443180148836,-2.572260641818822,15,,0.7445361755278687,0.01,7,0.739,0.463,0.347,True,,Non-stationary,297
USA,CPI,USA_CPI,yoy_pct,c,-2.9474308949013723,0.04010393341839058,15,270,-3.4548039258751206,-2.872304928618605,-2.5725063100137175,15,,0.352045480362799,0.09782522398155216,10,0.739,0.463,0.347,False,,Stationary,286
USA,CPI,USA_CPI,log_diff_pct,c,-3.105214256721387,0.02616970891153169,14,282,-3.4537536300652,-2.8718443180148836,-2.572260641818822,15,,0.31530758993821156,0.1,6,0.739,0.463,0.347,True,,Stationary,297
JAPAN,CPI,JAPAN_CPI,level,ct,0.16521557614030558,0.9955689638460304,12,285,-3.990891049175725,-3.4260081188921827,-3.1361715700377446,15,,0.5215288746625066,0.01,10,0.216,0.146,0.119,True,,Non-stationary,298
JAPAN,CPI,JAPAN_CPI,first_diff,c,-2.3744551828491107,0.1490764109884397,11,285,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417,15,,1.4803781185876408,0.01,3,0.739,0.463,0.347,True,,Non-stationary,297
JAPAN,CPI,JAPAN_CPI,yoy_pct,c,-2.1156760285636578,0.2382580892828084,13,272,-3.4546223782586534,-2.8722253212300277,-2.5724638500216264,15,,1.1107781854337564,0.01,10,0.739,0.463,0.347,True,,Non-stationary,286
JAPAN,CPI,JAPAN_CPI,log_diff_pct,c,-2.544251953443511,0.1050751363120413,11,285,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417,15,,1.3677746883950601,0.01,2,0.739,0.463,0.347,True,,Non-stationary,297
UK,CPI,UK_CPI,level,ct,-0.9369307322760433,0.9520271561965752,15,275,-3.9920727218031553,-3.426576756976709,-3.136505158767844,15,,0.32891783277194425,0.01,10,0.216,0.146,0.119,True,,Non-stationary,291
UK,CPI,UK_CPI,first_diff,c,-2.9766230887184775,0.03713593455004818,15,274,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,15,,1.0301824363791356,0.01,6,0.739,0.463,0.347,True,,Trend-stationary (conflict),290
UK,CPI,UK_CPI,yoy_pct,c,-2.4285538833873623,0.13383891521027363,12,266,-3.455175292841607,-2.8724677563219485,-2.57259315846006,15,,0.49055829081540975,0.04379317774427709,10,0.739,0.463,0.347,False,,Non-stationary,279
UK,CPI,UK_CPI,log_diff_pct,c,-3.221712546425437,0.018761773612489555,15,274,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,15,,0.6862036556499591,0.014799667668185534,3,0.739,0.463,0.347,False,,Trend-stationary (conflict),290
GERMANY,CPI,GERMANY_CPI,level,ct,-2.3585862109837836,0.4018545176307141,12,278,-3.9917091901550443,-3.4264018370662406,-3.13640254779252,15,,0.3498113391633122,0.01,10,0.216,0.146,0.119,True,,Non-stationary,291
GERMANY,CPI,GERMANY_CPI,first_diff,c,-2.5190685207903134,0.11090341335670739,15,274,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,15,,0.7584619134991252,0.01,5,0.739,0.463,0.347,True,,Non-stationary,290
GERMANY,CPI,GERMANY_CPI,yoy_pct,c,-3.050201243366145,0.030464821157461602,14,264,-3.455365238788105,-2.8725510317187024,-2.5726375763314966,15,,0.5130579741572272,0.038725681496120004,10,0.739,0.463,0.347,False,,Trend-stationary (conflict),279
GERMANY,CPI,GERMANY_CPI,log_diff_pct,c,-2.582888411356169,0.09658570897794905,13,276,-3.4542672521624214,-2.87206958769775,-2.5723807881747534,15,,0.49130096708222387,0.04362590831481444,4,0.739,0.463,0.347,False,,Non-stationary,290
