country,indicator,column,level_classification,transform,regression,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_1pct,adf_crit_5pct,adf_crit_10pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_1pct,kpss_crit_5pct,kpss_crit_10pct,kpss_interp_flag,kpss_error,classification,n_obs
USA,CPI,USA_CPI,Non-stationary,first_diff,c,-2.6659043315120026,0.08012640864440368,14,282,-3.4537536300652,-2.8718443180148836,-2.572260641818822,15,,0.7445361755278687,0.01,7,0.739,0.463,0.347,True,,Non-stationary,297
USA,CPI,USA_CPI,Non-stationary,second_diff,c,-7.631386198002041,2.0045397164536253e-11,13,282,-3.4537536300652,-2.8718443180148836,-2.572260641818822,15,,0.11453308147087007,0.1,69,0.739,0.463,0.347,True,,Stationary,296
USA,POLICY_RATE,USA_POLICY_RATE,Inconclusive,first_diff,c,-4.140526222017645,0.0008294573961777783,4,292,-3.4529449243622383,-2.871489553425686,-2.572071437887033,15,,0.27480310926850765,0.1,9,0.739,0.463,0.347,True,,Stationary,297
JAPAN,CPI,JAPAN_CPI,Non-stationary,first_diff,c,-2.3744551828491107,0.1490764109884397,11,285,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417,15,,1.4803781185876408,0.01,3,0.739,0.463,0.347,True,,Non-stationary,297
JAPAN,CPI,JAPAN_CPI,Non-stationary,second_diff,c,-11.901821662620288,5.55217819705889e-22,10,285,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417,15,,0.1711635174942836,0.1,77,0.739,0.463,0.347,True,,Stationary,296
JAPAN,POLICY_RATE,JAPAN_POLICY_RATE,Inconclusive,first_diff,c,-5.08619886576693,1.4943016617094447e-05,5,291,-3.4530232710482367,-2.871523926671883,-2.5720897694878424,15,,0.26065192396853604,0.1,6,0.739,0.463,0.347,True,,Stationary,297
JAPAN,UNEMPLOYMENT,JAPAN_UNEMPLOYMENT,Non-stationary,first_diff,c,-3.516472062322125,0.007573997890070481,14,282,-3.4537536300652,-2.8718443180148836,-2.572260641818822,15,,0.09348499496380394,0.1,2,0.739,0.463,0.347,True,,Stationary,297
JAPAN,M2,JAPAN_M2,Non-stationary,first_diff,c,-5.6503359921425895,9.89403174716035e-07,12,284,-3.4535872903895797,-2.871771355211212,-2.5722217283277127,15,,0.06068197666388703,0.1,8,0.739,0.463,0.347,True,,Stationary,297
UK,CPI,UK_CPI,Non-stationary,first_diff,c,-2.9766230887184775,0.03713593455004818,15,274,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,15,,1.0301824363791356,0.01,6,0.739,0.463,0.347,True,,Trend-stationary (conflict),290
UK,POLICY_RATE,UK_POLICY_RATE,Non-stationary,first_diff,c,-3.620210953375608,0.005386187785406423,14,275,-3.454355055831705,-2.8721080938842976,-2.572401325619835,15,,0.3454783828349793,0.1,9,0.739,0.463,0.347,True,,Stationary,290
UK,UNEMPLOYMENT,UK_UNEMPLOYMENT,Non-stationary,first_diff,c,-7.3576343373854876,9.686000581255903e-11,1,288,-3.453261605529366,-2.87162848654246,-2.5721455328896603,15,,0.20363935957415827,0.1,8,0.739,0.463,0.347,True,,Stationary,290
UK,M2,UK_M2,Non-stationary,first_diff,c,-4.465964360642369,0.00022644232927230087,15,274,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,15,,0.04504409230711113,0.1,4,0.739,0.463,0.347,True,,Stationary,290
GERMANY,CPI,GERMANY_CPI,Non-stationary,first_diff,c,-2.5190685207903134,0.11090341335670739,15,274,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,15,,0.7584619134991252,0.01,5,0.739,0.463,0.347,True,,Non-stationary,290
GERMANY,CPI,GERMANY_CPI,Non-stationary,second_diff,c,-13.080753476439137,1.8730364696884654e-24,10,278,-3.4540935579190495,-2.8719934111688965,-2.5723401594120388,15,,0.14157721406690996,0.1,56,0.739,0.463,0.347,True,,Stationary,289
GERMANY,UNEMPLOYMENT,GERMANY_UNEMPLOYMENT,Non-stationary,first_diff,c,-4.159124633034576,0.0007721137104493201,2,287,-3.453342167806272,-2.871663828287282,-2.572164381381345,15,,0.2725946079394989,0.1,9,0.739,0.463,0.347,True,,Stationary,290
GERMANY,M2,GERMANY_M2,Non-stationary,first_diff,c,-3.792650781888121,0.0029834084981061946,14,275,-3.454355055831705,-2.8721080938842976,-2.572401325619835,15,,0.0529733753545721,0.1,8,0.739,0.463,0.347,True,,Stationary,290
