country,pi0,candidate_date,wald_f
USA,0.1,2004-06-01,4.667575244593027
USA,0.1,2004-07-01,4.182091590843306
USA,0.1,2004-08-01,3.7504451502282783
USA,0.1,2004-09-01,3.8229177320844983
USA,0.1,2004-10-01,3.829142443390821
USA,0.1,2004-11-01,3.938968405122206
USA,0.1,2004-12-01,3.11499803778029
USA,0.1,2005-01-01,3.0143295044621867
USA,0.1,2005-02-01,2.9712094857544082
USA,0.1,2005-03-01,2.9790819732282237
USA,0.1,2005-04-01,2.5697908135606005
USA,0.1,2005-05-01,2.6119538795338304
USA,0.1,2005-06-01,2.6192633206383613
USA,0.1,2005-07-01,2.7507231713545273
USA,0.1,2005-08-01,2.7308882321035837
USA,0.1,2005-09-01,2.653749801708255
USA,0.1,2005-10-01,2.7507119002779605
USA,0.1,2005-11-01,2.712285794697841
USA,0.1,2005-12-01,2.7429580140791363
USA,0.1,2006-01-01,2.7125100061163363
USA,0.1,2006-02-01,2.388733993635392
USA,0.1,2006-03-01,2.484579811865096
USA,0.1,2006-04-01,2.3734681464993783
USA,0.1,2006-05-01,2.344264627674337
USA,0.1,2006-06-01,2.181954567562859
USA,0.1,2006-07-01,2.201011920463248
USA,0.1,2006-08-01,2.4587477921763687
USA,0.1,2006-09-01,2.5101994583592533
USA,0.1,2006-10-01,2.5933603039678292
USA,0.1,2006-11-01,2.6590961095220935
USA,0.1,2006-12-01,2.6042425840105206
USA,0.1,2007-01-01,2.567461773899302
USA,0.1,2007-02-01,2.4155938132419483
USA,0.1,2007-03-01,2.407000774178515
USA,0.1,2007-04-01,2.3398618538471436
USA,0.1,2007-05-01,2.365551906820806
USA,0.1,2007-06-01,2.2639551030515515
USA,0.1,2007-07-01,2.318572366075222
USA,0.1,2007-08-01,2.307318303500078
USA,0.1,2007-09-01,2.302971579676974
USA,0.1,2007-10-01,2.308202632614039
USA,0.1,2007-11-01,2.2843666542375862
USA,0.1,2007-12-01,2.2833700463169895
USA,0.1,2008-01-01,2.459595618810421
USA,0.1,2008-02-01,2.534147216466148
USA,0.1,2008-03-01,2.98902207004534
USA,0.1,2008-04-01,3.3556138882011055
USA,0.1,2008-05-01,3.563948268814964
USA,0.1,2008-06-01,4.611801778577502
USA,0.1,2008-07-01,4.608093152291801
USA,0.1,2008-08-01,4.598526715069629
USA,0.1,2008-09-01,6.196285207616588
USA,0.1,2008-10-01,7.475676472835912
USA,0.1,2008-11-01,8.580425857120265
USA,0.1,2008-12-01,6.38665057705239
USA,0.1,2009-01-01,5.506335578472675
USA,0.1,2009-02-01,5.2675820899800865
