country,indicator,transform,regression,subperiod,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag
USA,CPI,yoy_pct,c,full,2002-01,2025-10,-2.9474308949013723,0.04010393341839058,15,270,-2.872304928618605,15,,0.352045480362799,0.09782522398155216,10,0.463,False,,Stationary,286,False,False
USA,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.2019267460808845,0.20554690253952618,13,202,-2.8759570379821047,14,,0.3850505241329721,0.08359891201164996,9,0.463,False,,Inconclusive,216,False,False
USA,CPI,yoy_pct,c,post_2020,2020-01,2025-10,-3.653271333440791,0.00482056479320478,10,59,-2.911939409384601,10,,0.24291309986949225,0.1,5,0.463,True,,Stationary,70,False,False
USA,POLICY_RATE,first_diff,c,full,2001-02,2025-10,-4.140526222017645,0.0008294573961777783,4,292,-2.871489553425686,15,,0.27480310926850765,0.1,9,0.463,True,,Stationary,297,False,False
USA,POLICY_RATE,first_diff,c,pre_2020,2001-02,2019-12,-3.799563677570439,0.0029117822983805975,8,218,-2.874891213486339,14,,0.25438213176889796,0.1,8,0.463,True,,Stationary,227,False,False
USA,POLICY_RATE,first_diff,c,post_2020,2020-01,2025-10,-3.163272124820279,0.022211517118570452,3,66,-2.9064436883991434,10,,0.24494367296212527,0.1,4,0.463,True,,Stationary,70,False,False
USA,UNEMPLOYMENT,first_diff,c,full,2001-02,2025-10,-10.18138645480037,6.6806397819293485e-18,3,293,-2.8714554160827745,15,,0.06220130208338093,0.1,6,0.463,True,,Stationary,297,False,False
USA,UNEMPLOYMENT,first_diff,c,pre_2020,2001-02,2019-12,-2.8846836950168697,0.047158285379677235,5,221,-2.874708679520702,14,,0.40911372366943627,0.07322684324593265,8,0.463,False,,Stationary,227,False,False
USA,UNEMPLOYMENT,first_diff,c,post_2020,2020-01,2025-10,-3.8360826641505823,0.002558982156083266,7,62,-2.9094272025108254,10,,0.056830485565685575,0.1,3,0.463,True,,Stationary,70,False,False
USA,GDP,level,c,full,2001-01,2025-10,-3.233555025248202,0.018122708852663105,13,284,-2.871771355211212,15,,0.30868150914293835,0.1,10,0.463,True,,Stationary,298,False,False
USA,GDP,level,c,pre_2020,2001-01,2019-12,-2.6778142059873224,0.07795668905649503,13,214,-2.875142613826617,14,,0.1631807266206681,0.1,9,0.463,True,,Inconclusive,228,False,False
