country,date,position,column,value
USA,2001-01-01,head,USA_CPI,
USA,2001-02-01,head,USA_CPI,
USA,2001-03-01,head,USA_CPI,
USA,2001-04-01,head,USA_CPI,
USA,2001-05-01,head,USA_CPI,
USA,2001-06-01,head,USA_CPI,
USA,2025-05-01,tail,USA_CPI,2.3772651073680873
USA,2025-06-01,tail,USA_CPI,2.680453865910226
USA,2025-07-01,tail,USA_CPI,2.742618052167134
USA,2025-08-01,tail,USA_CPI,2.9385917430316155
USA,2025-09-01,tail,USA_CPI,3.0225715847133294
USA,2025-10-01,tail,USA_CPI,2.8587179332828505
USA,2001-01-01,head,USA_POLICY_RATE,
USA,2001-02-01,head,USA_POLICY_RATE,-0.4900000000000002
USA,2001-03-01,head,USA_POLICY_RATE,-0.1800000000000006
USA,2001-04-01,head,USA_POLICY_RATE,-0.5099999999999998
USA,2001-05-01,head,USA_POLICY_RATE,-0.5899999999999999
USA,2001-06-01,head,USA_POLICY_RATE,-0.23999999999999977
USA,2025-05-01,tail,USA_POLICY_RATE,0.0
USA,2025-06-01,tail,USA_POLICY_RATE,0.0
USA,2025-07-01,tail,USA_POLICY_RATE,0.0
USA,2025-08-01,tail,USA_POLICY_RATE,0.0
USA,2025-09-01,tail,USA_POLICY_RATE,-0.11000000000000032
USA,2025-10-01,tail,USA_POLICY_RATE,-0.1299999999999999
USA,2001-01-01,head,USA_UNEMPLOYMENT,
USA,2001-02-01,head,USA_UNEMPLOYMENT,0.0
USA,2001-03-01,head,USA_UNEMPLOYMENT,0.09999999999999964
USA,2001-04-01,head,USA_UNEMPLOYMENT,0.10000000000000053
USA,2001-05-01,head,USA_UNEMPLOYMENT,-0.10000000000000053
USA,2001-06-01,head,USA_UNEMPLOYMENT,0.20000000000000018
USA,2025-05-01,tail,USA_UNEMPLOYMENT,0.09999999999999964
USA,2025-06-01,tail,USA_UNEMPLOYMENT,-0.20000000000000018
USA,2025-07-01,tail,USA_UNEMPLOYMENT,0.20000000000000018
USA,2025-08-01,tail,USA_UNEMPLOYMENT,0.0
USA,2025-09-01,tail,USA_UNEMPLOYMENT,0.10000000000000053
USA,2025-10-01,tail,USA_UNEMPLOYMENT,0.04999999999999982
USA,2001-01-01,head,USA_GDP,4.6795
USA,2001-02-01,head,USA_GDP,4.255523
USA,2001-03-01,head,USA_GDP,3.838372
USA,2001-04-01,head,USA_GDP,3.427884
USA,2001-05-01,head,USA_GDP,3.188251
USA,2001-06-01,head,USA_GDP,2.94971
USA,2025-05-01,tail,USA_GDP,4.85587
USA,2025-06-01,tail,USA_GDP,5.116697
USA,2025-07-01,tail,USA_GDP,5.375376
USA,2025-08-01,tail,USA_GDP,5.368768
