country,indicator,column,effective_transform,n_total,n_nan,n_valid,first_valid_date,last_valid_date,nan_is_leading_only,dtype
USA,CPI,USA_CPI,yoy_pct,298,12,286,2002-01-01,2025-10-01,True,float64
USA,POLICY_RATE,USA_POLICY_RATE,first_diff,298,1,297,2001-02-01,2025-10-01,True,float64
USA,UNEMPLOYMENT,USA_UNEMPLOYMENT,first_diff,298,1,297,2001-02-01,2025-10-01,True,float64
USA,GDP,USA_GDP,level,298,0,298,2001-01-01,2025-10-01,True,float64
USA,M2,USA_M2,level,298,0,298,2001-01-01,2025-10-01,True,float64
JAPAN,CPI,JAPAN_CPI,first_diff,298,1,297,2001-02-01,2025-10-01,True,float64
JAPAN,POLICY_RATE,JAPAN_POLICY_RATE,first_diff,298,1,297,2001-02-01,2025-10-01,True,float64
JAPAN,UNEMPLOYMENT,JAPAN_UNEMPLOYMENT,first_diff,298,1,297,2001-02-01,2025-10-01,True,float64
JAPAN,GDP,JAPAN_GDP,level,298,0,298,2001-01-01,2025-10-01,True,float64
JAPAN,M2,JAPAN_M2,first_diff,298,1,297,2001-02-01,2025-10-01,True,float64
UK,CPI,UK_CPI,log_diff_pct,291,1,290,2001-02-01,2025-03-01,True,float64
UK,POLICY_RATE,UK_POLICY_RATE,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
UK,UNEMPLOYMENT,UK_UNEMPLOYMENT,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
UK,GDP,UK_GDP,level,291,0,291,2001-01-01,2025-03-01,True,float64
UK,M2,UK_M2,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
GERMANY,CPI,GERMANY_CPI,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
GERMANY,POLICY_RATE,GERMANY_POLICY_RATE,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
GERMANY,UNEMPLOYMENT,GERMANY_UNEMPLOYMENT,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
GERMANY,GDP,GERMANY_GDP,level,291,0,291,2001-01-01,2025-03-01,True,float64
GERMANY,M2,GERMANY_M2,first_diff,291,1,290,2001-02-01,2025-03-01,True,float64
