country,indicator,lag_k,column,source_column,n_total,n_nan,n_valid,source_first_valid,expected_first_valid,got_first_valid,first_valid_match,nan_is_leading_only,last_valid_date,dtype
USA,CPI,1,USA_CPI_lag1,USA_CPI,298,13,285,2002-01-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
USA,CPI,3,USA_CPI_lag3,USA_CPI,298,15,283,2002-01-01,2002-04-01,2002-04-01,True,True,2025-10-01,float64
USA,CPI,6,USA_CPI_lag6,USA_CPI,298,18,280,2002-01-01,2002-07-01,2002-07-01,True,True,2025-10-01,float64
USA,CPI,12,USA_CPI_lag12,USA_CPI,298,24,274,2002-01-01,2003-01-01,2003-01-01,True,True,2025-10-01,float64
USA,POLICY_RATE,1,USA_POLICY_RATE_lag1,USA_POLICY_RATE,298,2,296,2001-02-01,2001-03-01,2001-03-01,True,True,2025-10-01,float64
USA,POLICY_RATE,3,USA_POLICY_RATE_lag3,USA_POLICY_RATE,298,4,294,2001-02-01,2001-05-01,2001-05-01,True,True,2025-10-01,float64
USA,POLICY_RATE,6,USA_POLICY_RATE_lag6,USA_POLICY_RATE,298,7,291,2001-02-01,2001-08-01,2001-08-01,True,True,2025-10-01,float64
USA,POLICY_RATE,12,USA_POLICY_RATE_lag12,USA_POLICY_RATE,298,13,285,2001-02-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
USA,UNEMPLOYMENT,1,USA_UNEMPLOYMENT_lag1,USA_UNEMPLOYMENT,298,2,296,2001-02-01,2001-03-01,2001-03-01,True,True,2025-10-01,float64
USA,UNEMPLOYMENT,3,USA_UNEMPLOYMENT_lag3,USA_UNEMPLOYMENT,298,4,294,2001-02-01,2001-05-01,2001-05-01,True,True,2025-10-01,float64
USA,UNEMPLOYMENT,6,USA_UNEMPLOYMENT_lag6,USA_UNEMPLOYMENT,298,7,291,2001-02-01,2001-08-01,2001-08-01,True,True,2025-10-01,float64
USA,UNEMPLOYMENT,12,USA_UNEMPLOYMENT_lag12,USA_UNEMPLOYMENT,298,13,285,2001-02-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
USA,GDP,1,USA_GDP_lag1,USA_GDP,298,1,297,2001-01-01,2001-02-01,2001-02-01,True,True,2025-10-01,float64
USA,GDP,3,USA_GDP_lag3,USA_GDP,298,3,295,2001-01-01,2001-04-01,2001-04-01,True,True,2025-10-01,float64
USA,GDP,6,USA_GDP_lag6,USA_GDP,298,6,292,2001-01-01,2001-07-01,2001-07-01,True,True,2025-10-01,float64
USA,GDP,12,USA_GDP_lag12,USA_GDP,298,12,286,2001-01-01,2002-01-01,2002-01-01,True,True,2025-10-01,float64
USA,M2,1,USA_M2_lag1,USA_M2,298,1,297,2001-01-01,2001-02-01,2001-02-01,True,True,2025-10-01,float64
USA,M2,3,USA_M2_lag3,USA_M2,298,3,295,2001-01-01,2001-04-01,2001-04-01,True,True,2025-10-01,float64
USA,M2,6,USA_M2_lag6,USA_M2,298,6,292,2001-01-01,2001-07-01,2001-07-01,True,True,2025-10-01,float64
USA,M2,12,USA_M2_lag12,USA_M2,298,12,286,2001-01-01,2002-01-01,2002-01-01,True,True,2025-10-01,float64
JAPAN,CPI,1,JAPAN_CPI_lag1,JAPAN_CPI,298,2,296,2001-02-01,2001-03-01,2001-03-01,True,True,2025-10-01,float64
JAPAN,CPI,3,JAPAN_CPI_lag3,JAPAN_CPI,298,4,294,2001-02-01,2001-05-01,2001-05-01,True,True,2025-10-01,float64
JAPAN,CPI,6,JAPAN_CPI_lag6,JAPAN_CPI,298,7,291,2001-02-01,2001-08-01,2001-08-01,True,True,2025-10-01,float64
JAPAN,CPI,12,JAPAN_CPI_lag12,JAPAN_CPI,298,13,285,2001-02-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
JAPAN,POLICY_RATE,1,JAPAN_POLICY_RATE_lag1,JAPAN_POLICY_RATE,298,2,296,2001-02-01,2001-03-01,2001-03-01,True,True,2025-10-01,float64
JAPAN,POLICY_RATE,3,JAPAN_POLICY_RATE_lag3,JAPAN_POLICY_RATE,298,4,294,2001-02-01,2001-05-01,2001-05-01,True,True,2025-10-01,float64
JAPAN,POLICY_RATE,6,JAPAN_POLICY_RATE_lag6,JAPAN_POLICY_RATE,298,7,291,2001-02-01,2001-08-01,2001-08-01,True,True,2025-10-01,float64
JAPAN,POLICY_RATE,12,JAPAN_POLICY_RATE_lag12,JAPAN_POLICY_RATE,298,13,285,2001-02-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
JAPAN,UNEMPLOYMENT,1,JAPAN_UNEMPLOYMENT_lag1,JAPAN_UNEMPLOYMENT,298,2,296,2001-02-01,2001-03-01,2001-03-01,True,True,2025-10-01,float64
JAPAN,UNEMPLOYMENT,3,JAPAN_UNEMPLOYMENT_lag3,JAPAN_UNEMPLOYMENT,298,4,294,2001-02-01,2001-05-01,2001-05-01,True,True,2025-10-01,float64
JAPAN,UNEMPLOYMENT,6,JAPAN_UNEMPLOYMENT_lag6,JAPAN_UNEMPLOYMENT,298,7,291,2001-02-01,2001-08-01,2001-08-01,True,True,2025-10-01,float64
JAPAN,UNEMPLOYMENT,12,JAPAN_UNEMPLOYMENT_lag12,JAPAN_UNEMPLOYMENT,298,13,285,2001-02-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
JAPAN,GDP,1,JAPAN_GDP_lag1,JAPAN_GDP,298,1,297,2001-01-01,2001-02-01,2001-02-01,True,True,2025-10-01,float64
JAPAN,GDP,3,JAPAN_GDP_lag3,JAPAN_GDP,298,3,295,2001-01-01,2001-04-01,2001-04-01,True,True,2025-10-01,float64
JAPAN,GDP,6,JAPAN_GDP_lag6,JAPAN_GDP,298,6,292,2001-01-01,2001-07-01,2001-07-01,True,True,2025-10-01,float64
JAPAN,GDP,12,JAPAN_GDP_lag12,JAPAN_GDP,298,12,286,2001-01-01,2002-01-01,2002-01-01,True,True,2025-10-01,float64
JAPAN,M2,1,JAPAN_M2_lag1,JAPAN_M2,298,2,296,2001-02-01,2001-03-01,2001-03-01,True,True,2025-10-01,float64
JAPAN,M2,3,JAPAN_M2_lag3,JAPAN_M2,298,4,294,2001-02-01,2001-05-01,2001-05-01,True,True,2025-10-01,float64
JAPAN,M2,6,JAPAN_M2_lag6,JAPAN_M2,298,7,291,2001-02-01,2001-08-01,2001-08-01,True,True,2025-10-01,float64
JAPAN,M2,12,JAPAN_M2_lag12,JAPAN_M2,298,13,285,2001-02-01,2002-02-01,2002-02-01,True,True,2025-10-01,float64
UK,CPI,1,UK_CPI_lag1,UK_CPI,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
UK,CPI,3,UK_CPI_lag3,UK_CPI,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
UK,CPI,6,UK_CPI_lag6,UK_CPI,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
UK,CPI,12,UK_CPI_lag12,UK_CPI,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
UK,POLICY_RATE,1,UK_POLICY_RATE_lag1,UK_POLICY_RATE,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
UK,POLICY_RATE,3,UK_POLICY_RATE_lag3,UK_POLICY_RATE,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
UK,POLICY_RATE,6,UK_POLICY_RATE_lag6,UK_POLICY_RATE,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
UK,POLICY_RATE,12,UK_POLICY_RATE_lag12,UK_POLICY_RATE,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
UK,UNEMPLOYMENT,1,UK_UNEMPLOYMENT_lag1,UK_UNEMPLOYMENT,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
UK,UNEMPLOYMENT,3,UK_UNEMPLOYMENT_lag3,UK_UNEMPLOYMENT,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
UK,UNEMPLOYMENT,6,UK_UNEMPLOYMENT_lag6,UK_UNEMPLOYMENT,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
UK,UNEMPLOYMENT,12,UK_UNEMPLOYMENT_lag12,UK_UNEMPLOYMENT,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
UK,GDP,1,UK_GDP_lag1,UK_GDP,291,1,290,2001-01-01,2001-02-01,2001-02-01,True,True,2025-03-01,float64
UK,GDP,3,UK_GDP_lag3,UK_GDP,291,3,288,2001-01-01,2001-04-01,2001-04-01,True,True,2025-03-01,float64
UK,GDP,6,UK_GDP_lag6,UK_GDP,291,6,285,2001-01-01,2001-07-01,2001-07-01,True,True,2025-03-01,float64
UK,GDP,12,UK_GDP_lag12,UK_GDP,291,12,279,2001-01-01,2002-01-01,2002-01-01,True,True,2025-03-01,float64
UK,M2,1,UK_M2_lag1,UK_M2,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
UK,M2,3,UK_M2_lag3,UK_M2,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
UK,M2,6,UK_M2_lag6,UK_M2,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
UK,M2,12,UK_M2_lag12,UK_M2,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
GERMANY,CPI,1,GERMANY_CPI_lag1,GERMANY_CPI,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
GERMANY,CPI,3,GERMANY_CPI_lag3,GERMANY_CPI,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
GERMANY,CPI,6,GERMANY_CPI_lag6,GERMANY_CPI,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
GERMANY,CPI,12,GERMANY_CPI_lag12,GERMANY_CPI,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
GERMANY,POLICY_RATE,1,GERMANY_POLICY_RATE_lag1,GERMANY_POLICY_RATE,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
GERMANY,POLICY_RATE,3,GERMANY_POLICY_RATE_lag3,GERMANY_POLICY_RATE,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
GERMANY,POLICY_RATE,6,GERMANY_POLICY_RATE_lag6,GERMANY_POLICY_RATE,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
GERMANY,POLICY_RATE,12,GERMANY_POLICY_RATE_lag12,GERMANY_POLICY_RATE,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,1,GERMANY_UNEMPLOYMENT_lag1,GERMANY_UNEMPLOYMENT,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,3,GERMANY_UNEMPLOYMENT_lag3,GERMANY_UNEMPLOYMENT,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,6,GERMANY_UNEMPLOYMENT_lag6,GERMANY_UNEMPLOYMENT,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
GERMANY,UNEMPLOYMENT,12,GERMANY_UNEMPLOYMENT_lag12,GERMANY_UNEMPLOYMENT,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
GERMANY,GDP,1,GERMANY_GDP_lag1,GERMANY_GDP,291,1,290,2001-01-01,2001-02-01,2001-02-01,True,True,2025-03-01,float64
GERMANY,GDP,3,GERMANY_GDP_lag3,GERMANY_GDP,291,3,288,2001-01-01,2001-04-01,2001-04-01,True,True,2025-03-01,float64
GERMANY,GDP,6,GERMANY_GDP_lag6,GERMANY_GDP,291,6,285,2001-01-01,2001-07-01,2001-07-01,True,True,2025-03-01,float64
GERMANY,GDP,12,GERMANY_GDP_lag12,GERMANY_GDP,291,12,279,2001-01-01,2002-01-01,2002-01-01,True,True,2025-03-01,float64
GERMANY,M2,1,GERMANY_M2_lag1,GERMANY_M2,291,2,289,2001-02-01,2001-03-01,2001-03-01,True,True,2025-03-01,float64
GERMANY,M2,3,GERMANY_M2_lag3,GERMANY_M2,291,4,287,2001-02-01,2001-05-01,2001-05-01,True,True,2025-03-01,float64
GERMANY,M2,6,GERMANY_M2_lag6,GERMANY_M2,291,7,284,2001-02-01,2001-08-01,2001-08-01,True,True,2025-03-01,float64
GERMANY,M2,12,GERMANY_M2_lag12,GERMANY_M2,291,13,278,2001-02-01,2002-02-01,2002-02-01,True,True,2025-03-01,float64
