date,USA_CPI_lag1,USA_CPI_lag3,USA_CPI_lag6,USA_CPI_lag12,USA_POLICY_RATE_lag1,USA_POLICY_RATE_lag3,USA_POLICY_RATE_lag6,USA_POLICY_RATE_lag12,USA_UNEMPLOYMENT_lag1,USA_UNEMPLOYMENT_lag3,USA_UNEMPLOYMENT_lag6,USA_UNEMPLOYMENT_lag12,USA_GDP_lag1,USA_GDP_lag3,USA_GDP_lag6,USA_GDP_lag12,USA_M2_lag1,USA_M2_lag3,USA_M2_lag6,USA_M2_lag12
2001-01-01,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,4.6795,,,,6.656526,,,
2001-03-01,,,,,-0.4900000000000002,,,,0.0,,,,4.255523,,,,7.180243,,,
2001-04-01,,,,,-0.1800000000000006,,,,0.09999999999999964,,,,3.838372,4.6795,,,7.706348,6.656526,,
2001-05-01,,,,,-0.5099999999999998,-0.4900000000000002,,,0.10000000000000053,0.0,,,3.427884,4.255523,,,7.787659,7.180243,,
2001-06-01,,,,,-0.5899999999999999,-0.1800000000000006,,,-0.10000000000000053,0.09999999999999964,,,3.188251,3.838372,,,8.021953,7.706348,,
2001-07-01,,,,,-0.23999999999999977,-0.5099999999999998,,,0.20000000000000018,0.10000000000000053,,,2.94971,3.427884,4.6795,,8.515586,7.787659,6.656526,
2001-08-01,,,,,-0.20000000000000018,-0.5899999999999999,-0.4900000000000002,,0.09999999999999964,-0.10000000000000053,0.0,,2.712256,3.188251,4.255523,,8.738756,8.021953,7.180243,
2001-09-01,,,,,-0.1200000000000001,-0.23999999999999977,-0.1800000000000006,,0.3000000000000007,0.20000000000000018,0.09999999999999964,,2.524553,2.94971,3.838372,,8.803818,8.515586,7.706348,
2001-10-01,,,,,-0.5800000000000001,-0.20000000000000018,-0.5099999999999998,,0.09999999999999964,0.09999999999999964,0.10000000000000053,,2.338266,2.712256,3.427884,,10.296177,8.738756,7.787659,
2001-11-01,,,,,-0.5799999999999996,-0.1200000000000001,-0.5899999999999999,,0.2999999999999998,0.3000000000000007,-0.10000000000000053,,2.153378,2.524553,3.188251,,9.699669,8.803818,8.021953,
2001-12-01,,,,,-0.40000000000000036,-0.5800000000000001,-0.23999999999999977,,0.20000000000000018,0.09999999999999964,0.20000000000000018,,2.433533,2.338266,2.94971,,10.338542,10.296177,8.515586,
2002-01-01,,,,,-0.2699999999999998,-0.5799999999999996,-0.20000000000000018,,0.20000000000000018,0.2999999999999998,0.09999999999999964,,2.713072,2.153378,2.712256,4.6795,10.408718,9.699669,8.738756,6.656526
2002-02-01,1.1958997722095743,,,,-0.09000000000000008,-0.40000000000000036,-0.1200000000000001,-0.4900000000000002,0.0,0.20000000000000018,0.3000000000000007,0.0,2.991997,2.433533,2.524553,4.255523,9.694072,10.338542,8.803818,7.180243
2002-03-01,1.1363636363636465,,,,0.010000000000000009,-0.2699999999999998,-0.5800000000000001,-0.1800000000000006,0.0,0.20000000000000018,0.09999999999999964,0.09999999999999964,2.901121,2.713072,2.338266,3.838372,9.431931,10.408718,10.296177,7.706348
2002-04-01,1.3628620102214661,1.1958997722095743,,,-0.010000000000000009,-0.09000000000000008,-0.5799999999999996,-0.5099999999999998,0.0,0.0,0.2999999999999998,0.10000000000000053,2.810984,2.991997,2.153378,3.427884,8.418066,9.694072,9.699669,7.787659
2002-05-01,1.643990929705219,1.1363636363636465,,,0.020000000000000018,0.010000000000000009,-0.40000000000000036,-0.5899999999999999,0.20000000000000018,0.0,0.20000000000000018,-0.10000000000000053,2.721578,2.901121,2.433533,3.188251,7.063494,9.431931,10.338542,8.021953
