country,indicator,window,stat,column,source_column,n_total,n_nan,n_valid,source_first_valid,expected_first_valid,got_first_valid,first_valid_match,spot_check_match,spot_check_got,spot_check_expected,nan_is_leading_only,last_valid_date,dtype
USA,CPI,3,mean,USA_CPI_roll3_mean,USA_CPI,298,14,284,2002-01-01,2002-03-01,2002-03-01,True,True,1.2317084729315624,1.2317084729315624,True,2025-10-01,float64
USA,CPI,3,std,USA_CPI_roll3_std,USA_CPI,298,14,284,2002-01-01,2002-03-01,2002-03-01,True,True,0.11741837856829242,0.11741837856829244,True,2025-10-01,float64
USA,CPI,12,mean,USA_CPI_roll12_mean,USA_CPI,298,23,275,2002-01-01,2002-12-01,2002-12-01,True,True,1.5949223033038102,1.5949223033038102,True,2025-10-01,float64
USA,CPI,12,std,USA_CPI_roll12_std,USA_CPI,298,23,275,2002-01-01,2002-12-01,2002-12-01,True,True,0.4550748314073379,0.45507483140733795,True,2025-10-01,float64
USA,POLICY_RATE,3,mean,USA_POLICY_RATE_roll3_mean,USA_POLICY_RATE,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,-0.39333333333333353,-0.39333333333333353,True,2025-10-01,float64
USA,POLICY_RATE,3,std,USA_POLICY_RATE_roll3_std,USA_POLICY_RATE,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,0.1850225211517052,0.1850225211517052,True,2025-10-01,float64
USA,POLICY_RATE,12,mean,USA_POLICY_RATE_roll12_mean,USA_POLICY_RATE,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,-0.3541666666666667,-0.3541666666666667,True,2025-10-01,float64
USA,POLICY_RATE,12,std,USA_POLICY_RATE_roll12_std,USA_POLICY_RATE,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.1910001586545429,0.19100015865454292,True,2025-10-01,float64
USA,UNEMPLOYMENT,3,mean,USA_UNEMPLOYMENT_roll3_mean,USA_UNEMPLOYMENT,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,0.06666666666666672,0.06666666666666672,True,2025-10-01,float64
USA,UNEMPLOYMENT,3,std,USA_UNEMPLOYMENT_roll3_std,USA_UNEMPLOYMENT,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,0.05773502691896263,0.05773502691896263,True,2025-10-01,float64
USA,UNEMPLOYMENT,12,mean,USA_UNEMPLOYMENT_roll12_mean,USA_UNEMPLOYMENT,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.125,0.125,True,2025-10-01,float64
USA,UNEMPLOYMENT,12,std,USA_UNEMPLOYMENT_roll12_std,USA_UNEMPLOYMENT,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.12154310870109962,0.12154310870109962,True,2025-10-01,float64
