country,category,name,column,at_break,at_prev,at_last,expected_ones,got_ones,check_match,at_start,at_end,at_pre,at_post,driver,break,spot_check_3pt_match,full_index_match,at_2001-01-01_got,at_2001-01-01_expected,at_2008-09-01_got,at_2008-09-01_expected,at_2025-10-01_got,at_2025-10-01_expected,at_2001-02-01_got,at_2001-02-01_expected,at_2020-03-01_got,at_2020-03-01_expected,at_2022-02-01_got,at_2022-02-01_expected,at_2025-03-01_got,at_2025-03-01_expected
USA,split,GFC_2008,USA_D_GFC_2008,1.0,0.0,1.0,206.0,206.0,True,,,,,,,,,,,,,,,,,,,,,,
USA,split,COVID_2020,USA_D_COVID_2020,1.0,0.0,1.0,68.0,68.0,True,,,,,,,,,,,,,,,,,,,,,,
USA,split,ENERGY_2022,USA_D_ENERGY_2022,1.0,0.0,1.0,45.0,45.0,True,,,,,,,,,,,,,,,,,,,,,,
USA,period,GFC,USA_P_GFC,,,,10.0,10.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
USA,period,COVID,USA_P_COVID,,,,7.0,7.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
USA,interaction,M2_x_D_GFC_2008,USA_M2_x_D_GFC_2008,,,,,,True,,,,,M2,GFC_2008,True,True,0.0,0.0,6.197221,6.197221,4.310159,4.310159,,,,,,,,
USA,interaction,POLICY_RATE_x_D_COVID_2020,USA_POLICY_RATE_x_D_COVID_2020,,,,,,True,,,,,POLICY_RATE,COVID_2020,True,True,,,,,-0.1299999999999999,-0.1299999999999999,-0.0,-0.0,-0.93,-0.93,,,,
USA,interaction,POLICY_RATE_x_D_ENERGY_2022,USA_POLICY_RATE_x_D_ENERGY_2022,,,,,,True,,,,,POLICY_RATE,ENERGY_2022,True,True,,,,,-0.1299999999999999,-0.1299999999999999,-0.0,-0.0,,,0.0,0.0,,
JAPAN,split,GFC_2008,JAPAN_D_GFC_2008,1.0,0.0,1.0,206.0,206.0,True,,,,,,,,,,,,,,,,,,,,,,
JAPAN,split,COVID_2020,JAPAN_D_COVID_2020,1.0,0.0,1.0,68.0,68.0,True,,,,,,,,,,,,,,,,,,,,,,
JAPAN,split,ENERGY_2022,JAPAN_D_ENERGY_2022,1.0,0.0,1.0,45.0,45.0,True,,,,,,,,,,,,,,,,,,,,,,
JAPAN,period,GFC,JAPAN_P_GFC,,,,10.0,10.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
JAPAN,period,COVID,JAPAN_P_COVID,,,,7.0,7.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
UK,split,GFC_2008,UK_D_GFC_2008,1.0,0.0,1.0,199.0,199.0,True,,,,,,,,,,,,,,,,,,,,,,
UK,split,COVID_2020,UK_D_COVID_2020,1.0,0.0,1.0,61.0,61.0,True,,,,,,,,,,,,,,,,,,,,,,
UK,split,ENERGY_2022,UK_D_ENERGY_2022,1.0,0.0,1.0,38.0,38.0,True,,,,,,,,,,,,,,,,,,,,,,
UK,period,GFC,UK_P_GFC,,,,10.0,10.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
UK,period,COVID,UK_P_COVID,,,,7.0,7.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
UK,interaction,GDP_x_D_ENERGY_2022,UK_GDP_x_D_ENERGY_2022,,,,,,True,,,,,GDP,ENERGY_2022,True,True,0.0,0.0,,,,,,,,,9.071589,9.071589,1.570973,1.570973
GERMANY,split,GFC_2008,GERMANY_D_GFC_2008,1.0,0.0,1.0,199.0,199.0,True,,,,,,,,,,,,,,,,,,,,,,
GERMANY,split,COVID_2020,GERMANY_D_COVID_2020,1.0,0.0,1.0,61.0,61.0,True,,,,,,,,,,,,,,,,,,,,,,
GERMANY,split,ENERGY_2022,GERMANY_D_ENERGY_2022,1.0,0.0,1.0,38.0,38.0,True,,,,,,,,,,,,,,,,,,,,,,
GERMANY,period,GFC,GERMANY_P_GFC,,,,10.0,10.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
GERMANY,period,COVID,GERMANY_P_COVID,,,,7.0,7.0,True,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
GERMANY,interaction,GDP_x_D_COVID_2020,GERMANY_GDP_x_D_COVID_2020,,,,,,True,,,,,GDP,COVID_2020,True,True,0.0,0.0,,,,,,,-5.267864,-5.267864,,,3.257983,3.257983
GERMANY,interaction,GDP_x_D_ENERGY_2022,GERMANY_GDP_x_D_ENERGY_2022,,,,,,True,,,,,GDP,ENERGY_2022,True,True,0.0,0.0,,,,,,,,,9.154834,9.154834,3.257983,3.257983
