country,indicator_i,indicator_j,pearson_r,n
USA,CPI,CPI,1.0,286
USA,CPI,POLICY_RATE,0.3067,286
USA,CPI,UNEMPLOYMENT,-0.06244,286
USA,CPI,GDP,0.67558,286
USA,CPI,M2,-0.17071,286
USA,POLICY_RATE,CPI,0.3067,286
USA,POLICY_RATE,POLICY_RATE,1.0,286
USA,POLICY_RATE,UNEMPLOYMENT,-0.25265,286
USA,POLICY_RATE,GDP,0.39905,286
USA,POLICY_RATE,M2,-0.19149,286
USA,UNEMPLOYMENT,CPI,-0.06244,286
USA,UNEMPLOYMENT,POLICY_RATE,-0.25265,286
USA,UNEMPLOYMENT,UNEMPLOYMENT,1.0,286
USA,UNEMPLOYMENT,GDP,-0.2215,286
USA,UNEMPLOYMENT,M2,-0.04166,286
USA,GDP,CPI,0.67558,286
USA,GDP,POLICY_RATE,0.39905,286
USA,GDP,UNEMPLOYMENT,-0.2215,286
USA,GDP,GDP,1.0,286
USA,GDP,M2,-0.15893,286
USA,M2,CPI,-0.17071,286
USA,M2,POLICY_RATE,-0.19149,286
USA,M2,UNEMPLOYMENT,-0.04166,286
USA,M2,GDP,-0.15893,286
USA,M2,M2,1.0,286
JAPAN,CPI,CPI,1.0,297
JAPAN,CPI,POLICY_RATE,0.15752,297
JAPAN,CPI,UNEMPLOYMENT,-0.07077,297
JAPAN,CPI,GDP,0.09718,297
JAPAN,CPI,M2,-0.09319,297
JAPAN,POLICY_RATE,CPI,0.15752,297
JAPAN,POLICY_RATE,POLICY_RATE,1.0,297
JAPAN,POLICY_RATE,UNEMPLOYMENT,-0.15495,297
JAPAN,POLICY_RATE,GDP,0.16316,297
JAPAN,POLICY_RATE,M2,-0.07721,297
JAPAN,UNEMPLOYMENT,CPI,-0.07077,297
JAPAN,UNEMPLOYMENT,POLICY_RATE,-0.15495,297
JAPAN,UNEMPLOYMENT,UNEMPLOYMENT,1.0,297
JAPAN,UNEMPLOYMENT,GDP,-0.24603,297
JAPAN,UNEMPLOYMENT,M2,0.06747,297
JAPAN,GDP,CPI,0.09718,297
JAPAN,GDP,POLICY_RATE,0.16316,297
JAPAN,GDP,UNEMPLOYMENT,-0.24603,297
JAPAN,GDP,GDP,1.0,297
JAPAN,GDP,M2,-0.43225,297
JAPAN,M2,CPI,-0.09319,297
JAPAN,M2,POLICY_RATE,-0.07721,297
JAPAN,M2,UNEMPLOYMENT,0.06747,297
JAPAN,M2,GDP,-0.43225,297
JAPAN,M2,M2,1.0,297
UK,CPI,CPI,1.0,290
UK,CPI,POLICY_RATE,0.15863,290
UK,CPI,UNEMPLOYMENT,-0.04056,290
UK,CPI,GDP,0.17244,290
UK,CPI,M2,-0.10167,290
UK,POLICY_RATE,CPI,0.15863,290
UK,POLICY_RATE,POLICY_RATE,1.0,290
UK,POLICY_RATE,UNEMPLOYMENT,-0.11615,290
UK,POLICY_RATE,GDP,0.17881,290
UK,POLICY_RATE,M2,-0.14531,290
UK,UNEMPLOYMENT,CPI,-0.04056,290
UK,UNEMPLOYMENT,POLICY_RATE,-0.11615,290
UK,UNEMPLOYMENT,UNEMPLOYMENT,1.0,290
UK,UNEMPLOYMENT,GDP,-0.35758,290
UK,UNEMPLOYMENT,M2,0.12575,290
UK,GDP,CPI,0.17244,290
UK,GDP,POLICY_RATE,0.17881,290
UK,GDP,UNEMPLOYMENT,-0.35758,290
UK,GDP,GDP,1.0,290
UK,GDP,M2,-0.20521,290
UK,M2,CPI,-0.10167,290
UK,M2,POLICY_RATE,-0.14531,290
UK,M2,UNEMPLOYMENT,0.12575,290
UK,M2,GDP,-0.20521,290
UK,M2,M2,1.0,290
GERMANY,CPI,CPI,1.0,290
GERMANY,CPI,POLICY_RATE,0.17799,290
GERMANY,CPI,UNEMPLOYMENT,-0.01556,290
GERMANY,CPI,GDP,0.25972,290
GERMANY,CPI,M2,-0.03747,290
GERMANY,POLICY_RATE,CPI,0.17799,290
GERMANY,POLICY_RATE,POLICY_RATE,1.0,290
GERMANY,POLICY_RATE,UNEMPLOYMENT,-0.2251,290
GERMANY,POLICY_RATE,GDP,0.44936,290
GERMANY,POLICY_RATE,M2,-0.03832,290
GERMANY,UNEMPLOYMENT,CPI,-0.01556,290
GERMANY,UNEMPLOYMENT,POLICY_RATE,-0.2251,290
GERMANY,UNEMPLOYMENT,UNEMPLOYMENT,1.0,290
GERMANY,UNEMPLOYMENT,GDP,-0.40575,290
GERMANY,UNEMPLOYMENT,M2,0.05907,290
GERMANY,GDP,CPI,0.25972,290
GERMANY,GDP,POLICY_RATE,0.44936,290
GERMANY,GDP,UNEMPLOYMENT,-0.40575,290
GERMANY,GDP,GDP,1.0,290
GERMANY,GDP,M2,-0.07745,290
GERMANY,M2,CPI,-0.03747,290
GERMANY,M2,POLICY_RATE,-0.03832,290
GERMANY,M2,UNEMPLOYMENT,0.05907,290
GERMANY,M2,GDP,-0.07745,290
GERMANY,M2,M2,1.0,290
