country,period,period_start,period_end,intercept,slope,se_intercept,se_slope,r_squared,p_value_slope,n
USA,full,2002-01,2025-10,4.74282,-0.38256,0.29595,0.04862,0.17901,0.0,286
USA,pre_gfc,2002-01,2008-08,5.84927,-0.56695,1.0684,0.20127,0.09233,0.00614,80
USA,post_gfc,2008-09,2025-10,4.62771,-0.37188,0.35336,0.05552,0.18028,0.0,206
JAPAN,full,2002-01,2025-10,3.79872,-0.86497,0.25095,0.06573,0.37877,0.0,286
JAPAN,pre_gfc,2002-01,2008-08,3.20039,-0.71014,0.49918,0.1088,0.35322,0.0,80
JAPAN,post_gfc,2008-09,2025-10,4.03285,-0.94722,0.32993,0.095,0.32765,0.0,206
UK,full,2002-01,2025-03,3.6862,-0.20482,0.43212,0.07691,0.02496,0.0082,279
UK,pre_gfc,2002-01,2008-08,-6.56855,1.6756,1.01486,0.19786,0.47901,0.0,80
UK,post_gfc,2008-09,2025-03,4.3059,-0.27097,0.51076,0.08801,0.04591,0.00237,199
GERMANY,full,2002-01,2025-03,2.86694,-0.1622,0.23862,0.03728,0.06396,2e-05,279
GERMANY,pre_gfc,2002-01,2008-08,4.78013,-0.32092,0.5426,0.05673,0.29089,0.0,80
GERMANY,post_gfc,2008-09,2025-03,4.62325,-0.60327,0.44178,0.09719,0.16359,0.0,199
