country,lag,acf,pacf,ci_bartlett,acf_significant,pacf_significant
USA,0,1.0,1.0,0.1159,False,False
USA,1,0.96618,0.96618,0.1159,True,True
USA,2,0.90325,-0.45497,0.1159,True,True
USA,3,0.83909,0.16896,0.1159,True,True
USA,4,0.77872,-0.06032,0.1159,True,False
USA,5,0.7176,-0.07668,0.1159,True,False
USA,6,0.65795,0.03912,0.1159,True,False
USA,7,0.59845,-0.0896,0.1159,True,False
USA,8,0.5351,-0.0892,0.1159,True,False
USA,9,0.47032,0.00523,0.1159,True,False
USA,10,0.40541,-0.07779,0.1159,True,False
USA,11,0.33462,-0.15777,0.1159,True,True
USA,12,0.26765,0.15437,0.1159,True,True
USA,13,0.23346,0.45875,0.1159,True,True
USA,14,0.222,-0.19209,0.1159,True,True
USA,15,0.21517,0.02639,0.1159,True,False
USA,16,0.19697,-0.23289,0.1159,True,True
USA,17,0.16957,-0.08125,0.1159,True,False
USA,18,0.13613,-0.02644,0.1159,True,False
USA,19,0.1025,0.02206,0.1159,False,False
USA,20,0.07263,-0.06153,0.1159,False,False
USA,21,0.04606,0.00796,0.1159,False,False
USA,22,0.01997,-0.01122,0.1159,False,False
USA,23,0.00039,-0.00981,0.1159,False,False
USA,24,-0.00648,0.20454,0.1159,False,True
USA,25,-0.01057,0.17326,0.1159,False,True
USA,26,-0.02161,-0.12262,0.1159,False,True
USA,27,-0.0384,0.02461,0.1159,False,False
USA,28,-0.04833,-0.09262,0.1159,False,False
USA,29,-0.04784,-0.0501,0.1159,False,False
USA,30,-0.03839,0.02115,0.1159,False,False
USA,31,-0.02677,-0.01387,0.1159,False,False
USA,32,-0.01462,0.02821,0.1159,False,False
USA,33,-0.00325,0.02732,0.1159,False,False
USA,34,0.00711,-0.0894,0.1159,False,False
USA,35,0.01189,-0.12382,0.1159,False,True
USA,36,0.00578,0.07773,0.1159,False,False
USA,37,-0.00629,0.15896,0.1159,False,True
USA,38,-0.0152,-0.02419,0.1159,False,False
USA,39,-0.01515,0.05895,0.1159,False,False
USA,40,-0.00951,-0.05451,0.1159,False,False
JAPAN,0,1.0,1.0,0.11373,False,False
JAPAN,1,0.19049,0.19049,0.11373,True,True
JAPAN,2,-0.00289,-0.04065,0.11373,False,False
JAPAN,3,0.00447,0.01329,0.11373,False,False
JAPAN,4,0.04737,0.04556,0.11373,False,False
JAPAN,5,0.12429,0.11086,0.11373,True,False
