country,lag,n,lb_stat,lb_pvalue,reject_h0_at_5pct
USA,12,286,1527.219,0.0,True
USA,24,286,1604.6679,0.0,True
USA,36,286,1607.6518,0.0,True
JAPAN,12,297,67.3003,1.0211491029228942e-09,True
JAPAN,24,297,104.4534,5.175730324989585e-12,True
JAPAN,36,297,128.0798,3.0008840734253845e-12,True
UK,12,290,190.4621,3.016879088486062e-34,True
UK,24,290,276.2494,9.789962594365217e-45,True
UK,36,290,356.2527,2.4848386975084677e-54,True
GERMANY,12,290,104.3257,7.878048585285902e-17,True
GERMANY,24,290,152.4454,1.1621968983997831e-20,True
GERMANY,36,290,210.5575,1.5216036092575246e-26,True
