p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,0,0,0,0,12,1,82.76216197889548,89.60323197744005,85.52294005462758,-39.38108098944774,True,0.0347540000002482,
0,0,0,0,0,1,12,2,61.83367708440599,71.93160512947155,65.9141467775316,-27.916838542202996,True,0.055245200001081685,
0,0,0,0,0,2,12,3,57.88773401737214,71.12080480697696,63.24185840150721,-24.94386700868607,True,0.13232029999926453,
0,0,0,0,1,0,12,1,130.84535563916143,137.5773076692051,133.5656687679118,-63.422677819580706,True,0.03201430000081018,
0,0,0,0,1,1,12,2,28.829431904874358,38.75423499707797,32.84502519297566,-11.414715952437179,True,0.1244061999987025,
0,0,0,0,1,2,12,3,37.55871678515679,50.54681307379873,42.82000536506938,-14.779358392578393,True,0.43089689999942493,
0,0,0,1,0,0,12,2,50.755068246585836,60.866982330968824,54.8407485359535,-22.377534123292918,True,0.053803400000106194,
0,0,0,1,0,1,12,3,20.398318620858294,33.8622226809457,25.8389448783591,-6.199159310429147,True,0.09925730000031763,
0,0,0,1,0,2,12,4,29.220262512748068,45.761600999754094,35.9129179929169,-9.610131256374034,True,0.4096083999993425,
0,0,0,1,1,0,12,2,79.62440049744428,89.56401843456965,83.64557299100822,-36.81220024872214,True,0.07986209999944549,
0,0,0,1,1,1,12,3,30.8303951647083,44.063465954313116,36.18451954884337,-11.41519758235415,True,0.40895629999977245,
0,0,0,1,1,2,12,4,37.351569203467264,53.58668956426969,43.928179928358006,-13.675784601733632,True,0.9556269000004249,
0,0,0,2,0,0,12,3,42.36869248150619,55.62151639767333,47.73025580625811,-17.184346240753094,True,0.14154319999943255,
0,0,0,2,0,1,12,4,29.86268936157621,46.42871925678514,36.56464351751611,-9.931344680788104,True,0.34239049999996496,
0,0,0,2,0,2,12,5,26.55684767735482,46.406453861762046,34.588034253557424,-7.27842383867741,True,0.42512929999975313,
0,0,0,2,1,0,12,3,64.48408863828,77.49318235046653,69.7533767725604,-28.24204431914,True,0.2662305000012566,
0,0,0,2,1,1,12,4,44.96551128017152,61.22687842040467,51.552121448022014,-17.48275564008576,True,0.6104281999996601,
0,0,0,2,1,2,12,5,40.359278528844555,59.84142296180748,48.25121139871345,-14.17963926442228,True,0.8773025999998936,
0,0,1,0,0,0,12,2,73.52652600777083,83.77482721438409,77.66278244883887,-33.76326300388541,False,0.07338770000023942,
0,0,1,0,0,1,12,3,54.35565827211502,67.80082693495272,59.78929844588056,-23.17782913605751,True,0.07921759999953792,
0,0,1,0,0,2,12,4,50.033283794834524,66.54980833512991,56.71658573262379,-20.016641897417262,True,0.1677419000006921,
0,0,1,0,1,0,12,2,124.74544204013642,134.8293185372647,128.82067217046057,-59.37272102006821,True,0.12282129999948665,
0,0,1,0,1,1,12,3,23.194251992144267,36.40747162438057,28.540893542375677,-7.597125996072133,True,0.20370660000116914,
0,0,1,0,1,2,12,4,32.42114817020946,48.62988324550768,38.98769659609069,-11.210574085104732,True,0.5035582000000431,
