p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,0,0,0,0,12,1,78.10677771627405,84.94784771481862,80.86755579200616,-37.053388858137026,True,0.018650699999852804,
0,0,0,0,0,1,12,2,-9.813542768741389,0.28438527632416566,-5.733073075615785,7.906771384370694,False,0.12689700000009907,
0,0,0,0,0,2,12,3,-14.568321027852996,-1.3352502382481752,-9.214196643717926,11.284160513926498,True,0.16642979999960517,
0,0,0,0,1,0,12,1,-32.03269574627447,-25.30074371623077,-29.31238261752407,18.016347873137235,True,0.031437600000572274,
0,0,0,0,1,1,12,2,-100.80545447238207,-90.88065138017845,-96.78986118428077,53.40272723619103,True,0.13545929999963846,
0,0,0,0,1,2,12,3,-98.54480008611014,-85.5567037974682,-93.28351150619756,53.27240004305507,True,0.8618168000011792,
0,0,0,1,0,0,12,2,-71.11551834542905,-61.003604261046064,-67.02983805606138,38.557759172714526,True,0.06589630000053148,
0,0,0,1,0,1,12,3,-104.86424467223449,-91.40034061214709,-99.42361841473368,56.432122336117246,True,0.15703020000000834,
0,0,0,1,0,2,12,4,-109.44735818308833,-92.9060196960823,-102.75470270291949,59.72367909154416,True,0.3619294000000082,
0,0,0,1,1,0,12,2,-57.90343719748017,-47.96381926035481,-53.882264703916235,31.951718598740086,True,0.06644070000038482,
0,0,0,1,1,1,12,3,-107.27834483387842,-94.0452740442736,-101.92422044974336,57.63917241693921,True,0.2628896000005625,
0,0,0,1,1,2,12,4,-98.90620026553026,-82.67107990472783,-92.32958954063952,54.45310013276513,True,0.6848276000000624,
0,0,0,2,0,0,12,3,-74.76959006881168,-61.516766152644536,-69.40802674405975,41.38479503440584,True,0.2047727000008308,
0,0,0,2,0,1,12,4,-107.56792773826952,-91.00189784306059,-100.86597358232962,58.78396386913476,True,0.3242910999997548,
0,0,0,2,0,2,12,5,-108.66880863135458,-88.81920244694734,-100.63762205515198,60.33440431567729,True,0.6133160000008502,
0,0,0,2,1,0,12,3,-75.60823655303676,-62.59914284085024,-70.33894841875636,41.80411827651838,True,0.2574980000008509,
