p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,0,0,0,0,12,1,430.8322769917397,437.6733469902843,433.5930550674718,-213.41613849586986,True,0.021316999998816755,
0,0,0,0,0,1,12,2,411.58091997947474,421.6788480245403,415.66138967260036,-202.79045998973737,True,0.040401700000074925,
0,0,0,0,0,2,12,3,399.47077057855097,412.7038413681558,404.824894962686,-195.73538528927548,True,0.1307003000001714,
0,0,0,0,1,0,12,1,590.9020557064842,597.6340077365279,593.6223688352346,-293.4510278532421,True,0.03185080000002927,
0,0,0,0,1,1,12,2,421.9359545807942,431.8607576729978,425.9515478688955,-207.9679772903971,True,0.10637040000074194,
0,0,0,0,1,2,12,3,400.0777663611864,413.0658626498283,405.339054941099,-196.0388831805932,True,0.5233792999988509,
0,0,0,1,0,0,12,2,412.9203432794504,423.03225736383337,417.006023568818,-203.4601716397252,True,0.03852290000031644,
0,0,0,1,0,1,12,3,413.57983054490234,427.04373460498977,419.02045680240315,-202.78991527245117,True,0.07137460000012652,
0,0,0,1,0,2,12,4,401.2736317151073,417.81497020211333,407.9662871952761,-195.63681585755364,True,0.20319729999937408,
0,0,0,1,1,0,12,2,504.3997590405437,514.3393769776691,508.42093153410764,-249.19987952027185,True,0.09101989999908255,
0,0,0,1,1,1,12,3,421.5879461448334,434.8210169344382,426.94207052896843,-206.7939730724167,True,0.17082189999928232,
0,0,0,1,1,2,12,4,401.41942632787334,417.6545466886758,407.99603705276405,-195.70971316393667,True,0.5355491999998776,
0,0,0,2,0,0,12,3,400.91676763056785,414.169591546735,406.27833095531975,-196.45838381528392,True,0.08897860000070068,
0,0,0,2,0,1,12,4,402.90653216006956,419.4725620552785,409.6084863160095,-196.45326608003478,True,0.16004109999994398,
0,0,0,2,0,2,12,5,403.03107520977244,422.88068139417965,411.06226178597507,-195.51553760488622,True,0.32265729999926407,
0,0,0,2,1,0,12,3,446.8609018816903,459.86999559387687,452.1301900159707,-219.43045094084516,True,0.18207859999893117,
0,0,0,2,1,1,12,4,406.0861216986316,422.3474888388647,412.6727318664821,-198.0430608493158,True,0.4441612000009627,
0,0,0,2,1,2,12,5,401.56097936901404,421.04312380197695,409.4529122388829,-194.78048968450702,True,0.6153575999996974,
0,0,1,0,0,0,12,2,377.51662639971977,387.764927606333,381.6528828407878,-185.75831319985988,True,0.03825020000113,
0,0,1,0,0,1,12,3,356.54865374760095,369.99382241043867,361.9822939213665,-174.27432687380048,True,0.06857750000017404,
0,0,1,0,0,2,12,4,348.03099434253505,364.54751888283045,354.71429628032433,-169.01549717126753,True,0.13290029999916442,
0,0,1,0,1,0,12,2,545.3373071940075,555.4211836911358,549.4125373243317,-269.66865359700375,True,0.0422032999995281,
0,0,1,0,1,1,12,3,374.6659773813217,387.879197013558,380.0126189315531,-183.33298869066084,True,0.14879999999902793,
0,0,1,0,1,2,12,4,353.145826870382,369.3545619456802,359.71237529626325,-171.572913435191,True,0.4646136999999726,
0,0,1,1,0,0,12,3,358.4882047382358,371.97075685074645,363.9357784573927,-175.2441023691179,True,0.05567289999999048,
0,0,1,1,0,1,12,4,358.51927347267565,375.3257343012228,365.31132368988256,-174.25963673633782,True,0.10332939999898372,
0,0,1,1,0,2,12,5,349.62320786355144,369.44303731190587,357.6431701888986,-168.81160393177572,True,0.24883220000083384,
0,0,1,1,1,0,12,3,455.7246417380738,468.9774656542409,461.0862050628257,-223.8623208690369,True,0.10327719999986584,
0,0,1,1,1,1,12,4,370.3921516756856,386.908676215981,377.0754536134749,-180.1960758378428,True,0.25355710000076215,
0,0,1,1,1,2,12,5,354.44289315394076,373.8933752442986,362.32275126499826,-171.22144657697038,True,0.7642536999992444,
0,0,1,2,0,0,12,4,349.83240478880435,366.3984346840133,356.53435894474427,-169.91620239440218,True,0.1214854000008927,
0,0,1,2,0,1,12,5,351.825565585551,371.70480145980173,359.86791057267885,-169.9127827927755,True,0.19746739999936835,
0,0,1,2,0,2,12,6,351.48810605866896,374.6112404150825,360.84472877157395,-168.74405302933448,True,0.42806990000099177,
0,0,1,2,1,0,12,4,401.4402798322464,417.7016469724796,408.0268900000969,-195.7201399161232,True,0.26134729999830597,
0,0,1,2,1,1,12,5,360.1159166581858,379.6295572264656,368.01984885960644,-174.0579583290929,True,0.4543935000001511,
0,0,1,2,1,2,12,6,355.722452651433,378.4146817568505,364.9156204476667,-170.8612263257165,True,0.8043415000011009,
0,0,2,0,0,0,12,3,374.2755002869941,387.92208449441426,379.7839267474082,-183.13775014349704,True,0.03340410000055272,
0,0,2,0,0,1,12,4,352.44425453145425,369.2271859048143,359.2275233627442,-171.22212726572712,True,0.08282010000039008,
0,0,2,0,0,2,12,5,342.0587720244285,361.8486762237167,350.067443530126,-165.02938601221425,True,0.15966019999905257,
0,0,2,0,1,0,12,3,542.1553228921696,555.5816679908577,547.5819379572015,-267.0776614460848,True,0.08372190000045521,
0,0,2,0,1,1,12,4,368.45402516108476,384.94561199382497,375.1279180824994,-179.22701258054238,True,0.27458739999929094,
0,0,2,0,1,2,12,5,351.07316660256265,370.49181837954234,358.9408736382139,-169.53658330128133,True,0.6090691999997944,
0,0,2,1,0,0,12,4,355.6638853076293,372.51707544826763,362.4733524565754,-172.83194265381465,True,0.06598699999995006,
0,0,2,1,0,1,12,5,354.42604015638227,374.56555780441437,362.5659627539302,-171.21302007819114,True,0.17531469999994442,
0,0,2,1,0,2,12,6,343.91432101932656,367.0025425851628,353.257771109307,-164.95716050966328,True,0.30210099999931117,
0,0,2,1,1,0,12,4,455.5832814094407,472.14931130464964,462.2852355653806,-222.79164070472035,True,0.13422759999957634,
0,0,2,1,1,1,12,5,364.42518186022846,384.2150860595167,372.433853365926,-176.21259093011423,True,0.30281900000045425,
0,0,2,1,1,2,12,6,352.74332519460296,375.3984189344126,361.922316736196,-169.37166259730148,True,1.0580153000009886,
0,0,2,2,0,0,12,5,346.317863401335,366.19709927558574,354.36020838846287,-167.1589317006675,True,0.15615709999838145,
0,0,2,2,0,1,12,6,348.3052054086877,371.4976472619802,357.68794122700353,-167.15260270434385,True,0.2727283999993233,
0,0,2,2,0,2,12,7,345.3452820590257,371.73182099140996,356.023510733289,-164.67264102951285,True,0.4626219999991008,
0,0,2,2,1,0,12,5,400.8524170184221,420.36605758670186,408.7563492198427,-194.42620850921105,True,0.26115480000044045,
0,0,2,2,1,1,12,6,357.0114277296275,379.7773417259539,366.23268196461817,-171.50571386481374,True,0.5374977999999828,
0,0,2,2,1,2,12,7,351.69454410964795,377.58607981228755,362.18482015718286,-167.84727205482397,True,1.1936148999993748,
0,0,3,0,0,0,12,4,371.826160464132,388.86201932143257,378.70342224656923,-180.913080232066,True,0.03837060000114434,
