p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,0,0,0,0,12,1,710.0885253046802,716.8298013609354,712.8123121642586,-353.0442626523401,True,0.034408400000756956,
0,0,0,0,0,1,12,2,681.0731049920928,691.0127229292182,685.0942774856568,-337.5365524960464,True,0.04338780000034603,
0,0,0,0,0,2,12,3,653.5673581907414,666.5764519029279,658.8366463250218,-322.7836790953707,True,0.09119429999918793,
0,0,0,0,1,0,12,1,830.4501359477415,837.0765479058251,833.1309176101174,-413.22506797387075,True,0.023064000000886153,
0,0,0,0,1,1,12,2,662.6806821502773,672.4375024344172,666.6326482509876,-328.34034107513867,True,0.09732900000017253,
0,0,0,0,1,2,12,3,618.8392074708538,631.5887506942169,624.0090464467147,-305.4196037354269,True,0.2734986999985267,
0,0,0,1,0,0,12,2,683.5182419358159,693.4726019173486,687.5449610735124,-338.75912096790796,True,0.04431959999965329,
0,0,0,1,0,1,12,3,682.8993289153752,696.1521528315424,688.2608922401272,-337.4496644576876,True,0.0911536999992677,
0,0,0,1,0,2,12,4,655.4284217275583,671.6897888677914,662.0150318954088,-322.71421086377916,True,0.20910749999893596,
0,0,0,1,1,0,12,2,733.5206091078517,743.293095223935,737.4785375978516,-363.76030455392583,True,0.059305499999027234,
0,0,0,1,1,1,12,3,659.9053249170727,672.9144186292592,665.174613051353,-325.95266245853634,True,0.14032989999941492,
0,0,0,1,1,2,12,4,619.8421648227455,635.7790938519493,626.3044635425717,-304.92108241137277,True,0.4601975000005041,
0,0,0,2,0,0,12,3,655.8711623695993,668.9011438577105,661.1484003562659,-323.9355811847997,True,0.10578639999948791,
0,0,0,2,0,1,12,4,657.8076060978801,674.095082958019,664.4041535812134,-323.90380304894006,True,0.18932820000009087,
0,0,0,2,0,2,12,5,657.4169177829956,676.9305583512754,665.3208499844162,-322.7084588914978,True,0.313843399999314,
0,0,0,2,1,0,12,3,672.548598595173,685.3204259987338,677.7270246410659,-332.2742992975865,True,0.15892340000027616,
0,0,0,2,1,1,12,4,625.9424612654748,641.9072455199258,632.415493822841,-307.9712306327374,True,0.4009217999991961,
0,0,0,2,1,2,12,5,623.7309960818495,642.855310916894,631.4857545456409,-305.86549804092476,True,0.4969710999994277,
0,0,1,0,0,0,12,2,461.6533332098111,471.7512612548766,465.7338029029367,-227.82666660490554,True,0.037788499999805936,
0,0,1,0,0,1,12,3,444.2137914134163,457.4468622030211,449.56791579755134,-218.10689570670814,True,0.08470760000091104,
0,0,1,0,0,2,12,4,430.71875858062515,446.9538789414276,437.29536930551586,-210.35937929031257,True,0.1632738000007521,
0,0,1,0,1,0,12,2,605.4453216617028,615.3701247539065,609.4609149498041,-299.7226608308514,True,0.0640017000005173,
0,0,1,0,1,1,12,3,442.97463459893777,455.9627308875797,448.2359231788504,-217.48731729946888,True,0.2895184999997582,
0,0,1,0,1,2,12,4,409.69118221112814,425.60009996258856,416.1426753284969,-199.84559110556407,True,0.3798009000001912,
0,0,1,1,0,0,12,3,446.14812605770567,459.42060603308255,451.5170849079676,-219.07406302885283,True,0.0720089000005828,
0,0,1,1,0,1,12,4,445.40433690826177,461.9456753952678,452.09699238843064,-217.70216845413088,True,0.10892400000011548,
0,0,1,1,0,2,12,5,432.04398047385195,451.52612490681486,439.9359133437208,-210.02199023692597,True,0.34468290000040724,
0,0,1,1,1,0,12,3,514.3750978128915,527.4050793010025,519.652335799558,-253.1875489064457,True,0.11280850000002829,
0,0,1,1,1,1,12,4,437.60015137719114,453.8352717379936,444.17676210208185,-213.80007568859557,True,0.20262430000002496,
0,0,1,1,1,2,12,5,411.2373457443106,430.3280470460631,418.97913748515316,-199.6186728721553,True,0.7082802000004449,
0,0,1,2,0,0,12,4,432.67592597353496,448.96340283367385,439.2724734568682,-211.33796298676748,True,0.17642740000155754,
0,0,1,2,0,1,12,5,434.36789886332696,453.91287109549364,442.2837558433269,-211.18394943166348,True,0.2562152000009519,
0,0,1,2,0,2,12,6,433.8575574151953,456.5867259203187,443.0648124300423,-209.92877870759764,True,0.4374152000000322,
0,0,1,2,1,0,12,4,464.3921911953191,480.3569754497702,470.8652237526853,-227.19609559765956,True,0.285131900000124,
0,0,1,2,1,1,12,5,419.57376916322545,438.7315102685667,427.34140823206485,-203.78688458161272,True,0.5678291999993235,
0,0,1,2,1,2,12,6,414.9521120843922,437.2245969364368,423.9842024487085,-200.4760560421961,True,0.7575476999991224,
0,0,2,0,0,0,12,3,388.4187771525103,401.863945815348,393.8524173262758,-190.20938857625515,True,0.05731219999870518,
0,0,2,0,0,1,12,4,312.9921437198409,329.5086682601363,319.6754456576302,-151.49607185992045,True,0.1606541000001016,
0,0,2,0,0,2,12,5,307.08409068811045,326.5345727784683,314.96394879916795,-147.54204534405523,True,0.30146570000033535,
0,0,2,0,1,0,12,3,495.671098780154,508.8843184123903,501.01774033038544,-243.835549390077,True,0.11808489999930316,
0,0,2,0,1,1,12,4,332.4534187912394,348.6621538665376,339.01996721712067,-161.2267093956197,True,0.19593070000155421,
0,0,2,0,1,2,12,5,292.6319548237799,311.6888532192229,300.36069264403045,-140.31597741188995,True,0.5464284999998199,
