variant_id,window,n,rmse,mae,bias
USA_yoy_pct,full_test,70,0.3151277482439635,0.2201309968873558,0.0792925856209042
USA_yoy_pct,covid_2020_2021,24,0.3290479801299045,0.2628569724416705,0.158086920168968
USA_yoy_pct,energy_2022_plus,46,0.3076150573882205,0.1978391835546698,0.0381824980306101
USA_first_diff,full_test,70,0.8281084210684444,0.5938484862679707,0.31757665681708214
USA_first_diff,covid_2020_2021,24,0.7796720643979886,0.6196482728144944,0.383210930507091
USA_first_diff,energy_2022_plus,46,0.8522875142693048,0.5803877280697843,0.28333268793533833
JAPAN_first_diff,full_test,70,0.3286918922488058,0.2613933044168848,0.0758694485560165
JAPAN_first_diff,covid_2020_2021,24,0.3032688263894659,0.2275167178847554,-0.0579548930890019
JAPAN_first_diff,energy_2022_plus,46,0.3412049510534428,0.2790680452162566,0.1456908441968958
UK_log_diff_pct,full_test,63,0.3714416734836735,0.2610393194606198,0.0558645996421402
UK_log_diff_pct,covid_2020_2021,24,0.3154250589570508,0.2557462708548569,0.0757882262324065
UK_log_diff_pct,energy_2022_plus,39,0.4020527625404138,0.2642965801410894,0.0436039063558226
GERMANY_first_diff,full_test,63,0.5455973811673456,0.3805883321934788,0.078700067824643
GERMANY_first_diff,covid_2020_2021,24,0.504311107650804,0.3206915792812936,0.0917260927971065
GERMANY_first_diff,energy_2022_plus,39,0.5695186228244485,0.4174478724471312,0.0706840524569732
