p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,0,0,0,3,12,4,383.38740870970696,399.6225290705094,389.9640194345977,-186.69370435485348,True,0.2758899000000383,
0,0,0,0,1,3,12,4,382.94822367198543,398.85714142344585,389.3997167893542,-186.47411183599272,True,0.6087656999989122,
0,0,0,1,0,3,12,5,384.1569115437686,403.6390559767315,392.0488444136375,-186.0784557718843,True,0.5055758000016795,
0,0,0,1,1,3,12,5,382.0291716141968,401.1198729159493,389.7709633550394,-185.0145858070984,True,1.0511018999968655,
0,0,0,2,0,3,12,6,386.06493053603344,408.79409904115687,395.27218555088047,-186.03246526801672,True,0.6590181999999913,
0,0,0,2,1,3,12,6,375.31338792858526,397.58587278062987,384.3454782929016,-180.65669396429263,True,2.457695100001729,
0,0,1,0,0,3,12,5,335.4960247515079,354.94650684186576,343.3758828625654,-161.74801237575394,True,0.3118938000006892,
0,0,1,0,1,3,12,5,340.82826616611635,359.88516456155935,348.5570039863669,-164.41413308305818,True,0.8923939999986032,
0,0,1,1,0,3,12,6,336.2829343495049,358.9751634549224,345.47610214573865,-161.14146717475245,True,0.5872793999988062,
0,0,1,1,1,3,12,6,338.1828533950887,360.4159015231055,347.199714185381,-162.09142669754436,True,2.2123262000022805,
0,0,1,2,0,3,12,7,337.22671969250734,363.1606958129845,347.7331971739173,-160.61335984625367,True,0.8633810000028461,
0,0,1,2,1,3,12,7,333.0356924295629,358.4448902901535,343.34067618989695,-158.51784621478146,True,2.8664965000025404,
0,0,2,0,0,3,12,6,331.51317866615693,354.1682724059666,340.69217020775,-158.75658933307847,True,0.5405399999981455,
0,0,2,0,1,3,12,6,335.0437783735237,357.23716633879076,344.045306576326,-160.52188918676185,True,1.3463021999996272,
0,0,2,1,0,3,12,7,331.30812317178425,357.19965887442385,341.79839921931915,-157.65406158589212,True,0.8973370999992767,
0,0,2,1,1,3,12,7,333.61676526349856,358.9806372238038,343.9042260667012,-158.80838263174928,True,1.6117832000018097,
0,0,2,2,0,3,12,8,332.2712380426123,361.39921570808184,344.0727985960891,-157.13561902130616,True,1.0683123000017076,
0,0,2,2,1,3,12,8,332.3346451089918,360.8690010643352,343.9080385125948,-157.1673225544959,True,3.3952733000005537,
0,0,3,0,0,3,12,7,330.965563587617,356.81443252245367,341.43953523951694,-157.4827817938085,True,0.4579010000015842,
0,0,3,0,1,3,12,7,334.389597233083,359.7078850244711,344.6594158561888,-159.1947986165415,True,1.4626151000011305,
0,0,3,1,0,3,12,8,331.1521680926427,360.23214564433397,342.93538620103016,-156.57608404632134,True,0.8982165999987046,
0,0,3,1,1,3,12,8,332.69509995043904,361.1781737157507,344.24864590143306,-157.34754997521952,True,1.9537664000017685,
0,0,3,2,0,3,12,9,331.0297560273676,363.3408421959135,344.12222059224257,-155.5148780136838,True,1.464279899999383,
0,0,3,2,1,3,12,9,332.14713765998926,363.79499739922437,344.98441093887146,-156.07356882999463,True,3.086734799999249,
0,0,4,0,0,3,12,8,331.9377720054933,360.96949206891213,343.7025304561114,-156.96888600274664,True,0.666760100000829,
0,0,4,0,1,3,12,8,334.97434754407425,363.405845237005,346.50791020539396,-158.48717377203712,True,2.197133199999371,
0,0,4,1,0,3,12,9,332.1069178679334,364.3643846050654,345.17887170195354,-156.0534589339667,True,1.1563674999997602,
0,0,4,1,1,3,12,9,333.1167342641035,364.70728725624883,345.93180388779206,-156.55836713205176,True,2.290716199997405,
0,0,4,2,0,3,12,10,329.648797537492,365.1320109483372,344.02794675491407,-153.824398768746,True,2.167320500000642,
0,0,4,2,1,3,12,10,334.87115247439095,369.6207607657508,348.96772906044833,-156.43557623719548,False,5.571377800002665,
1,0,0,0,0,3,12,5,339.3454681624892,358.82761259545214,347.2374010323581,-163.6727340812446,True,0.3492471999998088,
1,0,0,0,1,3,12,5,343.00241858090374,362.09311988265625,350.7442103217463,-165.50120929045187,True,1.0496405999983835,
1,0,0,1,0,3,12,6,339.8547712972479,362.58393980237133,349.06202631209493,-162.92738564862395,True,0.6456270999988192,
1,0,0,1,1,3,12,6,341.06406360978514,363.33654846182975,350.09615397410147,-163.53203180489257,True,1.5361961999988125,
1,0,0,2,0,3,12,7,339.13115113068295,365.10734370796683,349.6537282905081,-161.56557556534148,True,0.9992601000012655,
1,0,0,2,1,3,12,7,340.5488738027379,366.0031422050746,350.87126279052796,-162.27443690136894,True,2.2485976999996637,
1,0,1,0,0,3,12,6,333.8992129713382,356.5914420767557,343.09238076757197,-159.9496064856691,True,0.4518950000019686,
1,0,1,0,1,3,12,6,339.62813985697574,361.8611879849925,348.64500064726803,-162.81406992848787,True,1.2884660000017902,
1,0,1,1,0,3,12,7,334.60686191694526,360.5408380374224,345.1133393983552,-159.30343095847263,True,0.7861046999969403,
