country,equation,regressor,coef,std_err,t_stat,p_value,ci_lo,ci_hi,signif_5pct
UK,UK_CPI,const,0.15892129449669498,0.039822630945781035,3.990728154377046,6.587074772297103e-05,0.08086893784296416,0.2369736511504258,True
UK,UK_CPI,UK_D_GFC_2008,0.0009632549652644831,0.044942614044290174,0.021432998185535266,0.9829002508610833,-0.08712426856154426,0.08905077849207321,False
UK,UK_CPI,UK_D_COVID_2020,0.1050065008479628,0.0900579641054077,1.1659879488843286,0.2436193179171352,-0.0715071087986363,0.2815201104945619,False
UK,UK_CPI,UK_D_ENERGY_2022,-0.007238491683617627,0.11551433707093285,-0.06266314526111812,0.9500347455117006,-0.233646592342646,0.21916960897541077,False
UK,UK_CPI,UK_P_GFC,-0.016259562173309913,0.1431965604042394,-0.11354715593314309,0.9095967797597071,-0.29692482056561914,0.2644056962189993,False
UK,UK_CPI,UK_P_COVID,-0.03909221691590876,0.19733272232886853,-0.19810306397516217,0.8429644276372708,-0.42586435268049105,0.34767991884867355,False
UK,UK_CPI,UK_GDP_x_D_ENERGY_2022,0.09626623754230176,0.028436345899674455,3.3853237642394776,0.0007109434542512574,0.04053099957893983,0.1520014755056637,True
UK,UK_CPI,L1.UK_CPI,-0.03737778730848543,0.05983685713783338,-0.6246616065142961,0.5321931766489583,-0.15465802729863884,0.07990245268166798,False
UK,UK_CPI,L1.UK_POLICY_RATE,0.06807155663749871,0.09682821748269481,0.7030136297785766,0.4820472555064843,-0.1217117496285831,0.2578548629035805,False
UK,UK_CPI,L1.UK_UNEMPLOYMENT,0.4397529430665739,0.2098637729080464,2.095420934127852,0.036133590203622466,0.02841994816680299,0.8510859379663449,True
UK,UK_CPI,L1.UK_GDP,0.0077904727605391366,0.014239058341231809,0.547119941069445,0.5842963332400855,-0.02011808158827521,0.03569902710935348,False
UK,UK_CPI,L1.UK_M2,-0.020788943159046117,0.022000033409824656,-0.9449505267461232,0.3446841342476047,-0.06390900864230244,0.022331122324210206,False
UK,UK_CPI,L2.UK_CPI,-0.00014840160397973286,0.05990660129607156,-0.002477216212722528,0.998023469451628,-0.11756534014428,0.11726853693632053,False
UK,UK_CPI,L2.UK_POLICY_RATE,0.07239666965076585,0.09707829126154553,0.7457555001222347,0.455815125887749,-0.11787678122186337,0.2626701205233951,False
UK,UK_CPI,L2.UK_UNEMPLOYMENT,0.022115018046314303,0.2071966258485516,0.10673445069746967,0.9149996510060066,-0.3839903686168468,0.4282204047094755,False
UK,UK_CPI,L2.UK_GDP,0.004931385061410786,0.013244916173522959,0.372322859337441,0.7096524808122544,-0.02102865063869421,0.030891420761515784,False
UK,UK_CPI,L2.UK_M2,-0.00623665081484622,0.021730523283275734,-0.28699956892644535,0.7741126503033703,-0.04882847645006666,0.03635517482037422,False
UK,UK_POLICY_RATE,const,-0.008261499217350605,0.024468006220625095,-0.3376449696333102,0.7356307494127967,-0.05621879140977579,0.039695792975074584,False
UK,UK_POLICY_RATE,UK_D_GFC_2008,0.009747650199430493,0.027613850061891668,0.3529985922854952,0.7240894958846271,-0.04437549592187717,0.06387079632073817,False
UK,UK_POLICY_RATE,UK_D_COVID_2020,0.003470485028172673,0.055333833391070786,0.062719042139103,0.9499902338111109,-0.10498382841832607,0.1119247984746714,False
UK,UK_POLICY_RATE,UK_D_ENERGY_2022,0.05275885896937485,0.07097485652997543,0.7433457642438874,0.45727237117660646,-0.08635185982937699,0.1918695777681267,False
UK,UK_POLICY_RATE,UK_P_GFC,-0.5094254790444552,0.08798349700986408,-5.790011722168103,7.038151220067974e-09,-0.6818731331837888,-0.3369778249051216,True
UK,UK_POLICY_RATE,UK_P_COVID,-0.1000204431294333,0.12124608954263913,-0.8249374763897741,0.40940708833349115,-0.337662778633006,0.1376218923741394,False
UK,UK_POLICY_RATE,UK_GDP_x_D_ENERGY_2022,0.0188357674853951,0.01747199197643156,1.0780549527954897,0.2810092331307401,-0.01540933678841076,0.053080871759200954,False
UK,UK_POLICY_RATE,L1.UK_CPI,0.034627124021220534,0.036765240213900874,0.9418440847865881,0.3462724709533156,-0.03743274679802518,0.10668699484046625,False
UK,UK_POLICY_RATE,L1.UK_POLICY_RATE,-0.14905075712884955,0.059493643976569505,-2.505322370025788,0.012233983171676214,-0.2656582993229258,-0.032443214934773326,True
UK,UK_POLICY_RATE,L1.UK_UNEMPLOYMENT,0.024442273159676186,0.1289454759528375,0.18955510442736337,0.8496577707378297,-0.22829085970788532,0.27717540602723767,False
UK,UK_POLICY_RATE,L1.UK_GDP,0.001357220786859627,0.008748828487586768,0.15513171721051716,0.8767174781400279,-0.015790483048810436,0.018504924622529693,False
UK,UK_POLICY_RATE,L1.UK_M2,-0.035539782310596645,0.013517362904988546,-2.629194951737279,0.008558728007302,-0.0620338136043742,-0.009045751016819096,True
UK,UK_POLICY_RATE,L2.UK_CPI,0.00885996949006309,0.03680809274416055,0.24070710622377156,0.8097821309193884,-0.0632838922884916,0.08100383126861777,False
UK,UK_POLICY_RATE,L2.UK_POLICY_RATE,0.17138943507651738,0.05964729547149121,2.873381495703087,0.004061034001751547,0.05448073595239461,0.28829813420064015,True
UK,UK_POLICY_RATE,L2.UK_UNEMPLOYMENT,0.17724514188992982,0.12730671504495344,1.3922685997148112,0.16384107633450007,-0.07227601959817892,0.42676630337803856,False
UK,UK_POLICY_RATE,L2.UK_GDP,-0.003234828018446247,0.0081380030306549,-0.3974965364673656,0.6910013401210602,-0.01918531395852985,0.012715657921637358,False
UK,UK_POLICY_RATE,L2.UK_M2,0.003706845479339061,0.01335176923886692,0.27762953455999345,0.781296757781031,-0.0224626222288401,0.029876313187518225,False
UK,UK_UNEMPLOYMENT,const,0.010081467813627946,0.01137378115480685,0.8863778611888677,0.37541394494706326,-0.012211143249793482,0.03237407887704938,False
UK,UK_UNEMPLOYMENT,UK_D_GFC_2008,-0.03435066735868025,0.012836104609980832,-2.6760974923786898,0.007448497468225459,-0.05950943239424268,-0.009191902323117816,True
UK,UK_UNEMPLOYMENT,UK_D_COVID_2020,-0.05202320625023836,0.025721544525196073,-2.0225537466958077,0.04311917700760536,-0.10243743351962267,-0.0016089789808540547,True
UK,UK_UNEMPLOYMENT,UK_D_ENERGY_2022,0.09777633269813275,0.032992164477434534,2.9636228555118986,0.0030404066809347173,0.03311169032236107,0.16244097507390443,True
UK,UK_UNEMPLOYMENT,UK_P_GFC,0.11605637301938729,0.04089851176273044,2.837667387328893,0.004544451159885456,0.035895289964435625,0.19621745607433894,True
UK,UK_UNEMPLOYMENT,UK_P_COVID,0.17703287863900197,0.05636039470889355,3.141086565369042,0.0016832227285993437,0.0665665050095706,0.2874992522684333,True
UK,UK_UNEMPLOYMENT,UK_GDP_x_D_ENERGY_2022,-0.0016579906530965903,0.008121732980064484,-0.20414247269225372,0.8382421647134236,-0.017576587294022977,0.014260605987829798,False
UK,UK_UNEMPLOYMENT,L1.UK_CPI,0.02528844652732894,0.017090064164865568,1.4797163008502878,0.13894897352697808,-0.008208079235807571,0.05878497229046545,False
UK,UK_UNEMPLOYMENT,L1.UK_POLICY_RATE,-0.04507418985892265,0.02765520331285118,-1.6298628995425606,0.10313047635333025,-0.09927838835211096,0.009130008634265663,False
UK,UK_UNEMPLOYMENT,L1.UK_UNEMPLOYMENT,0.08327052424761464,0.05993940050390077,1.389245196774958,0.16475820236939165,-0.03421070074003088,0.20075174923526015,False
UK,UK_UNEMPLOYMENT,L1.UK_GDP,0.005826955047786296,0.004066831587400567,1.4327996924777409,0.1519150892591189,-0.0021440348635188167,0.013797944959091408,False
UK,UK_UNEMPLOYMENT,L1.UK_M2,0.006255141919807176,0.006283451380760527,0.99549460014284,0.3194957692553465,-0.006060422786483457,0.01857070662609781,False
UK,UK_UNEMPLOYMENT,L2.UK_CPI,0.009306935836479225,0.0171099838631323,0.543947668853933,0.5864774846455382,-0.024228632535260083,0.04284250420821853,False
UK,UK_UNEMPLOYMENT,L2.UK_POLICY_RATE,-0.04574555439919894,0.02772662713306728,-1.6498780821646337,0.09896787441197769,-0.1000897435800108,0.008598634781612928,False
UK,UK_UNEMPLOYMENT,L2.UK_UNEMPLOYMENT,0.15225357661003888,0.05917763398466496,2.572822979869273,0.010087278701749615,0.03626541400009556,0.2682417392199822,True
UK,UK_UNEMPLOYMENT,L2.UK_GDP,-0.009024384242198988,0.003782893656034843,-2.3855770377796386,0.017052350444880425,-0.01643885580802728,-0.0016099126763706962,True
UK,UK_UNEMPLOYMENT,L2.UK_M2,-0.017144548670467722,0.006206476325984633,-2.7623643062471213,0.005738440925313963,-0.0293092422693976,-0.004979855071537842,True
UK,UK_GDP,const,0.545952425415732,0.13645608275948268,4.000938722372875,6.309169598359755e-05,0.2784985032071459,0.8134063476243181,True
UK,UK_GDP,UK_D_GFC_2008,-0.34283470875643773,0.1540001982743149,-2.2261965412911926,0.026001019542218916,-0.6446750973740949,-0.040994320138780516,True
UK,UK_GDP,UK_D_COVID_2020,1.592187261241838,0.30859229315736547,5.159517254793878,2.475874059849015e-07,0.9873463666534017,2.1970281558302744,True
UK,UK_GDP,UK_D_ENERGY_2022,-1.5376481302622782,0.3958210084290763,-3.884705706664875,0.00010245391548579715,-2.3134573067832678,-0.7618389537412886,True
UK,UK_GDP,UK_P_GFC,-0.2202286299033621,0.4906768144977196,-0.44882624040183905,0.6535570079019347,-1.1819551863188924,0.7414979265121683,False
UK,UK_GDP,UK_P_COVID,-4.09214003411796,0.6761795905931945,-6.051853813759792,1.431883824338218e-09,-5.417452031680621,-2.7668280365552986,True
UK,UK_GDP,UK_GDP_x_D_ENERGY_2022,0.014822283628513594,0.09743987971930691,0.15211722008701004,0.8790944825976779,-0.17615988062132795,0.20580444787835514,False
UK,UK_GDP,L1.UK_CPI,0.08235688111541675,0.2050367576362399,0.4016688620365713,0.6879277434133875,-0.3195151638516135,0.48422892608244694,False
UK,UK_GDP,L1.UK_POLICY_RATE,0.27884136823882494,0.33179121882381823,0.8404121399815896,0.40067734473672567,-0.3714694206558588,0.9291521571335086,False
UK,UK_GDP,L1.UK_UNEMPLOYMENT,-1.6043364915003513,0.7191184430568516,-2.230976700695628,0.02568267239879046,-3.0138086398917805,-0.1948643431089223,True
UK,UK_GDP,L1.UK_GDP,1.3223753743142739,0.04879150566605343,27.102573619373125,9.182135920556366e-162,1.2267440232088092,1.4180067254197386,True
UK,UK_GDP,L1.UK_M2,-0.06818799133991808,0.07538523468652099,-0.9045271481009293,0.365715945663471,-0.21594305132549924,0.07956706864566306,False
UK,UK_GDP,L2.UK_CPI,0.09039576680339602,0.20527574271589216,0.44036263421785055,0.6596744832798422,-0.31194468891975263,0.49273622252654464,False
UK,UK_GDP,L2.UK_POLICY_RATE,0.09594925883845053,0.33264812072739386,0.28844070613908934,0.7730094121158475,-0.5560410577872414,0.7479395754641425,False
UK,UK_GDP,L2.UK_UNEMPLOYMENT,-3.279406168317701,0.7099792066167065,-4.619017201849039,3.85561895972406e-06,-4.670965413286446,-1.887846923348956,True
UK,UK_GDP,L2.UK_GDP,-0.5633605781965235,0.045384981720002035,-12.41292949443317,2.2236520992121134e-35,-0.6523151423677275,-0.47440601402531957,True
UK,UK_GDP,L2.UK_M2,0.25021480340069135,0.07446173226441961,3.3603140269710408,0.0007785392580942976,0.10426980816242892,0.3961597986389538,True
UK,UK_M2,const,0.06548285642015467,0.1052271477155825,0.6223000227768948,0.5337446062224243,-0.14076235310238702,0.2717280659426964,False
UK,UK_M2,UK_D_GFC_2008,-0.06065179470780457,0.11875616890309863,-0.510725423933931,0.6095433356149811,-0.29341388575787786,0.17211029634226874,False
UK,UK_M2,UK_D_COVID_2020,-0.03850455778113658,0.23796877470970676,-0.16180508483983877,0.8714593486892448,-0.5049233562121618,0.42791424064988864,False
UK,UK_M2,UK_D_ENERGY_2022,0.013530863330304541,0.30523458449493557,0.044329391286684436,0.9646418438372244,-0.5847289222797692,0.6117906489403783,False
UK,UK_M2,UK_P_GFC,-0.07271692388771567,0.37838197166168425,-0.19217861667239453,0.8476022951241172,-0.8143455883446168,0.6689117405691855,False
UK,UK_M2,UK_P_COVID,0.9804018002996492,0.5214311317072278,1.8802133986317553,0.0600790002682962,-0.041603217846517215,2.0024068184458157,False
UK,UK_M2,UK_GDP_x_D_ENERGY_2022,0.04607160051118893,0.07514007737335235,0.6131428409671527,0.5397818952313553,-0.10120295114058168,0.19334615216295953,False
UK,UK_M2,L1.UK_CPI,-0.35137402724853267,0.15811265241243616,-2.2223017695761316,0.026262918647792684,-0.6612748259769076,-0.04147322852015778,True
UK,UK_M2,L1.UK_POLICY_RATE,-0.13533067380966626,0.2558584629418497,-0.5289278777556933,0.5968554822303561,-0.6368132611756917,0.36615191355635923,False
UK,UK_M2,L1.UK_UNEMPLOYMENT,-0.2511708183437253,0.5545431255411329,-0.45293288614592125,0.6505970694588408,-1.3380753444043458,0.8357337077168951,False
UK,UK_M2,L1.UK_GDP,-0.056310170148211845,0.03762522615453503,-1.496606822160581,0.13449559394681662,-0.1300556134111005,0.017435273114676804,False
UK,UK_M2,L1.UK_M2,0.6347238777466592,0.058132793097353835,10.918516794534536,9.401858448217592e-28,0.5207836032758456,0.7486641522174727,True
UK,UK_M2,L2.UK_CPI,-0.03720646311944988,0.1582969440744115,-0.23504220714431506,0.8141759741238487,-0.3474684735052964,0.2730555472663967,False
UK,UK_M2,L2.UK_POLICY_RATE,0.1617672371646217,0.2565192568131222,0.6306241456268967,0.5282863072987315,-0.3410105061890978,0.6645449805183412,False
UK,UK_M2,L2.UK_UNEMPLOYMENT,0.1955322614185127,0.5474954676907323,0.35713950700495006,0.7209873697753307,-0.8775588552553226,1.268623378092348,False
UK,UK_M2,L2.UK_GDP,0.0631364698379116,0.034998309191810566,1.803986286648534,0.07123345676943077,-0.005460216178037103,0.1317331558538603,False
UK,UK_M2,L2.UK_M2,-0.39386248495311205,0.05742064070501641,-6.859249219744482,6.922338319726304e-12,-0.5064069407349442,-0.2813180291712799,True
