country,equation,p_star_s2,s2_lb12_pvalue,s2_lb12_reject,s2_lb24_pvalue,s2_lb24_reject,p_star_s2b,s2b_lb12_pvalue,s2b_lb12_reject,s2b_lb24_pvalue,s2b_lb24_reject,lb12_pvalue_delta,lb24_pvalue_delta,improved_at_lb12,improved_at_lb24
USA,USA_CPI,2,3.0250581283219207e-15,True,3.072441987306636e-15,True,12,1.3688243248333689e-06,True,4.467890232238476e-06,True,1.3688243218083108e-06,4.467890229166035e-06,False,False
USA,USA_POLICY_RATE,2,0.0022493804737536,True,0.0116668413594934,True,12,0.751604074474047,False,0.5234904679649532,False,0.7493546940002934,0.5118236266054599,True,True
USA,USA_UNEMPLOYMENT,2,2.1733873336371614e-06,True,0.0001293960811083,True,12,0.0013430212655378625,True,0.0006254445557081933,True,0.0013408478782042253,0.0004960484745998933,False,False
USA,USA_GDP,2,1.0533663299303985e-15,True,4.52216758545596e-19,True,12,0.08866212491128729,False,0.008406484743037838,True,0.08866212491128624,0.008406484743037838,True,False
USA,USA_M2,2,7.384625643819564e-12,True,3.4482345727139497e-15,True,12,5.5284026131450514e-05,True,3.2426150336940252e-06,True,5.528401874682487e-05,3.2426150302457905e-06,False,False
JAPAN,JAPAN_CPI,2,0.0001224974055139,True,9.351545071430105e-08,True,5,0.0002642008846440437,True,6.1245721830477025e-06,True,0.0001417034791301437,6.031056732333401e-06,False,False
JAPAN,JAPAN_POLICY_RATE,2,0.0262679212395792,True,0.0034725145799963,True,5,0.07645177522206818,False,0.0051393582572846945,True,0.05018385398248898,0.0016668436772883945,True,False
JAPAN,JAPAN_UNEMPLOYMENT,2,0.0368955369349263,True,0.0008987410030116,True,5,0.15005765803272908,False,0.0022969951444045495,True,0.11316212109780277,0.0013982541413929497,True,False
JAPAN,JAPAN_GDP,2,5.603569697951633e-16,True,2.704966675002672e-18,True,5,3.688979738312002e-10,True,4.4412984730236996e-09,True,3.688974134742304e-10,4.441298470318733e-09,False,False
JAPAN,JAPAN_M2,2,2.604496123959956e-08,True,3.922695231763324e-06,True,5,8.120502832083153e-05,True,0.001228959975045318,True,8.117898335959193e-05,0.0012250372798135547,False,False
UK,UK_CPI,2,6.94633673079778e-30,True,2.0328168671799263e-47,True,12,0.5335057885156809,False,0.6514253958899519,False,0.5335057885156809,0.6514253958899519,True,True
UK,UK_POLICY_RATE,2,4.1805462555318696e-08,True,3.38992384140439e-08,True,12,0.016968642494355302,True,0.004981844964015175,True,0.016968600688892745,0.004981811064776761,False,False
UK,UK_UNEMPLOYMENT,2,0.0930910327233868,False,0.2838281699328541,False,12,0.9943107701449226,False,0.9777795451517626,False,0.9012197374215358,0.6939513752189085,False,False
UK,UK_GDP,2,5.34440088101031e-23,True,8.135125734083094e-21,True,12,0.059991779865581456,False,0.19969033573294775,False,0.059991779865581456,0.19969033573294775,True,True
UK,UK_M2,2,2.191719536566926e-13,True,2.7910799980745375e-12,True,12,0.007806668196796003,True,0.002435938270278189,True,0.007806668196576831,0.002435938267487109,False,False
GERMANY,GERMANY_CPI,2,5.803929743057191e-15,True,4.318276531947867e-22,True,12,0.6576976483613535,False,0.6101579739637424,False,0.6576976483613477,0.6101579739637424,True,True
GERMANY,GERMANY_POLICY_RATE,2,0.0800754261669679,False,0.0487294201283683,True,12,0.9727181828828191,False,0.9222910801515967,False,0.8926427567158511,0.8735616600232283,False,True
GERMANY,GERMANY_UNEMPLOYMENT,2,0.0250799039141012,True,0.0250573513382656,True,12,0.9782961928469252,False,0.6613783995287481,False,0.953216288932824,0.6363210481904825,True,True
GERMANY,GERMANY_GDP,2,4.073782436360483e-13,True,2.0021452125813846e-13,True,12,0.006804541542121619,True,0.002894422014988742,True,0.006804541541714241,0.0028944220147885274,False,False
GERMANY,GERMANY_M2,2,3.391078804964181e-15,True,6.455665960806592e-16,True,12,0.17259639787495354,False,0.13662833139655636,False,0.17259639787495015,0.13662833139655572,True,True
