country,causer,narrative_label,test_stat,df1,df2,p_value,signif_5pct,signif_1pct
USA,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),2.4381606252218697,12,1025,0.003955689613238645,True,True
USA,UNEMPLOYMENT,N1 · Phillips Curve,2.0686895818807867,12,1025,0.016583363801886984,True,False
USA,GDP,Demand-side inflation,2.43317779362379,12,1025,0.004035437892152609,True,True
USA,M2,N2 · Quantity Theory of Money,1.2685705573637163,12,1025,0.23150409296753344,False,False
JAPAN,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),1.4283316910130748,5,1305,0.21112390538475542,False,False
JAPAN,UNEMPLOYMENT,N1 · Phillips Curve,1.044010839958773,5,1305,0.3901359091666683,False,False
JAPAN,GDP,Demand-side inflation,1.3030026682995999,5,1305,0.26002330991087885,False,False
JAPAN,M2,N2 · Quantity Theory of Money,0.989258178277036,5,1305,0.4229241467397399,False,False
UK,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),0.571332832839045,12,1055,0.8663307824490465,False,False
UK,UNEMPLOYMENT,N1 · Phillips Curve,2.6442178103994363,12,1055,0.0017050244727831773,True,True
UK,GDP,Demand-side inflation,3.57098066735446,12,1055,3.0789955098561864e-05,True,True
UK,M2,N2 · Quantity Theory of Money,1.493608852078448,12,1055,0.12010886976374457,False,False
GERMANY,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),0.9932813874591112,12,1050,0.45305143613728693,False,False
GERMANY,UNEMPLOYMENT,N1 · Phillips Curve,1.1661145664552395,12,1050,0.30282064301101236,False,False
GERMANY,GDP,Demand-side inflation,1.9265363068243067,12,1050,0.027928845410297727,True,False
GERMANY,M2,N2 · Quantity Theory of Money,0.9776058343194941,12,1050,0.4682845134939606,False,False
