country,causer,caused,test_stat,p_value,df1,df2,signif_5pct,signif_1pct,is_diagonal
USA,CPI,CPI,,,-1,-1,False,False,True
USA,CPI,POLICY_RATE,1.7862700228294555,0.0459217446249911,12,1025,True,False,False
USA,CPI,UNEMPLOYMENT,0.6734940095537055,0.7781031177412401,12,1025,False,False,False
USA,CPI,GDP,1.1211621867759305,0.338474534725463,12,1025,False,False,False
USA,CPI,M2,2.014743694488955,0.020262148551350875,12,1025,True,False,False
USA,POLICY_RATE,CPI,2.4381606252218697,0.003955689613238645,12,1025,True,True,False
USA,POLICY_RATE,POLICY_RATE,,,-1,-1,False,False,True
USA,POLICY_RATE,UNEMPLOYMENT,4.4136346250893395,6.481025965646297e-07,12,1025,True,True,False
USA,POLICY_RATE,GDP,1.9321589828492447,0.02739611027880756,12,1025,True,False,False
USA,POLICY_RATE,M2,2.132300485036956,0.013052472688554615,12,1025,True,False,False
USA,UNEMPLOYMENT,CPI,2.0686895818807867,0.016583363801886984,12,1025,True,False,False
USA,UNEMPLOYMENT,POLICY_RATE,0.8410429635654899,0.6078855498665025,12,1025,False,False,False
USA,UNEMPLOYMENT,UNEMPLOYMENT,,,-1,-1,False,False,True
USA,UNEMPLOYMENT,GDP,9.984907919574484,1.0264782117673847e-18,12,1025,True,True,False
USA,UNEMPLOYMENT,M2,2.041085849552197,0.018379514641528576,12,1025,True,False,False
USA,GDP,CPI,2.43317779362379,0.004035437892152609,12,1025,True,True,False
USA,GDP,POLICY_RATE,0.7151242529847949,0.7377110155055702,12,1025,False,False,False
USA,GDP,UNEMPLOYMENT,4.884517208274318,7.047070548272699e-08,12,1025,True,True,False
USA,GDP,GDP,,,-1,-1,False,False,True
USA,GDP,M2,2.637767321941233,0.0017566771005887453,12,1025,True,True,False
USA,M2,CPI,1.2685705573637163,0.23150409296753344,12,1025,False,False,False
USA,M2,POLICY_RATE,0.5186060143602645,0.9037930570762299,12,1025,False,False,False
USA,M2,UNEMPLOYMENT,1.2849322790308797,0.22136963376297827,12,1025,False,False,False
USA,M2,GDP,2.2004147618480356,0.010064323189531543,12,1025,True,False,False
USA,M2,M2,,,-1,-1,False,False,True
JAPAN,CPI,CPI,,,-1,-1,False,False,True
JAPAN,CPI,POLICY_RATE,0.5222380519941364,0.759605373196192,5,1305,False,False,False
JAPAN,CPI,UNEMPLOYMENT,0.08933942796142116,0.9939314107212859,5,1305,False,False,False
JAPAN,CPI,GDP,0.8098653617344059,0.5425687897811826,5,1305,False,False,False
JAPAN,CPI,M2,0.9525722759359123,0.4459111326203592,5,1305,False,False,False
JAPAN,POLICY_RATE,CPI,1.4283316910130748,0.21112390538475542,5,1305,False,False,False
JAPAN,POLICY_RATE,POLICY_RATE,,,-1,-1,False,False,True
JAPAN,POLICY_RATE,UNEMPLOYMENT,1.7071999389369623,0.1299053447093587,5,1305,False,False,False
JAPAN,POLICY_RATE,GDP,0.5694280210106022,0.723512648148928,5,1305,False,False,False
JAPAN,POLICY_RATE,M2,1.2559089712768894,0.2806736963638212,5,1305,False,False,False
JAPAN,UNEMPLOYMENT,CPI,1.044010839958773,0.3901359091666683,5,1305,False,False,False
JAPAN,UNEMPLOYMENT,POLICY_RATE,1.9896878586969282,0.07747312636976768,5,1305,False,False,False
JAPAN,UNEMPLOYMENT,UNEMPLOYMENT,,,-1,-1,False,False,True
JAPAN,UNEMPLOYMENT,GDP,1.0779182340143663,0.3707580403604219,5,1305,False,False,False
JAPAN,UNEMPLOYMENT,M2,1.4076233384251806,0.21862034767302513,5,1305,False,False,False
JAPAN,GDP,CPI,1.3030026682995999,0.26002330991087885,5,1305,False,False,False
JAPAN,GDP,POLICY_RATE,0.6145915559895255,0.6887521779406931,5,1305,False,False,False
JAPAN,GDP,UNEMPLOYMENT,3.546959371130331,0.0034395597568352265,5,1305,True,True,False
JAPAN,GDP,GDP,,,-1,-1,False,False,True
JAPAN,GDP,M2,12.23142284291374,1.3142526551096498e-11,5,1305,True,True,False
JAPAN,M2,CPI,0.989258178277036,0.4229241467397399,5,1305,False,False,False
JAPAN,M2,POLICY_RATE,0.649644646868896,0.6618249801100253,5,1305,False,False,False
JAPAN,M2,UNEMPLOYMENT,0.6596082931175798,0.6541992507944805,5,1305,False,False,False
JAPAN,M2,GDP,4.298893225101296,0.0006974079805402808,5,1305,True,True,False
JAPAN,M2,M2,,,-1,-1,False,False,True
UK,CPI,CPI,,,-1,-1,False,False,True
UK,CPI,POLICY_RATE,1.023189907739127,0.4246297015968853,12,1055,False,False,False
UK,CPI,UNEMPLOYMENT,1.6228791575772092,0.07958077348088392,12,1055,False,False,False
UK,CPI,GDP,0.5902225955627386,0.8514472696479332,12,1055,False,False,False
UK,CPI,M2,0.7657567116278498,0.6863998687162058,12,1055,False,False,False
UK,POLICY_RATE,CPI,0.571332832839045,0.8663307824490465,12,1055,False,False,False
UK,POLICY_RATE,POLICY_RATE,,,-1,-1,False,False,True
UK,POLICY_RATE,UNEMPLOYMENT,1.2694406922434045,0.2308991321586325,12,1055,False,False,False
UK,POLICY_RATE,GDP,0.6657501247836416,0.7853991828996658,12,1055,False,False,False
UK,POLICY_RATE,M2,0.7789969816794233,0.6727095563845982,12,1055,False,False,False
UK,UNEMPLOYMENT,CPI,2.6442178103994363,0.0017050244727831773,12,1055,True,True,False
UK,UNEMPLOYMENT,POLICY_RATE,0.9215722462171635,0.5243527440929457,12,1055,False,False,False
UK,UNEMPLOYMENT,UNEMPLOYMENT,,,-1,-1,False,False,True
UK,UNEMPLOYMENT,GDP,2.0734280631103985,0.01626639942911628,12,1055,True,False,False
UK,UNEMPLOYMENT,M2,0.709744010240614,0.7430528365105293,12,1055,False,False,False
UK,GDP,CPI,3.57098066735446,3.0789955098561864e-05,12,1055,True,True,False
UK,GDP,POLICY_RATE,1.0438881218533205,0.4055018517541728,12,1055,False,False,False
UK,GDP,UNEMPLOYMENT,0.8775517529672979,0.5697439484217641,12,1055,False,False,False
UK,GDP,GDP,,,-1,-1,False,False,True
UK,GDP,M2,0.897409032310175,0.5491586146204388,12,1055,False,False,False
UK,M2,CPI,1.493608852078448,0.12010886976374457,12,1055,False,False,False
UK,M2,POLICY_RATE,1.406347844547507,0.15642544921156162,12,1055,False,False,False
UK,M2,UNEMPLOYMENT,1.2005833360776854,0.27727325972676403,12,1055,False,False,False
UK,M2,GDP,1.3323674731127024,0.1938377040212093,12,1055,False,False,False
UK,M2,M2,,,-1,-1,False,False,True
GERMANY,CPI,CPI,,,-1,-1,False,False,True
GERMANY,CPI,POLICY_RATE,1.2147463998965606,0.2672381867217293,12,1050,False,False,False
GERMANY,CPI,UNEMPLOYMENT,0.8345550934090039,0.6146817891839798,12,1050,False,False,False
GERMANY,CPI,GDP,1.5779529782833277,0.09206694575664193,12,1050,False,False,False
GERMANY,CPI,M2,0.7117038747949982,0.7411130211446437,12,1050,False,False,False
GERMANY,POLICY_RATE,CPI,0.9932813874591112,0.45305143613728693,12,1050,False,False,False
GERMANY,POLICY_RATE,POLICY_RATE,,,-1,-1,False,False,True
GERMANY,POLICY_RATE,UNEMPLOYMENT,0.9267475667129212,0.5190842910314379,12,1050,False,False,False
GERMANY,POLICY_RATE,GDP,0.9079335703667283,0.5383188062064812,12,1050,False,False,False
GERMANY,POLICY_RATE,M2,0.7146233515946712,0.7382197898124001,12,1050,False,False,False
GERMANY,UNEMPLOYMENT,CPI,1.1661145664552395,0.30282064301101236,12,1050,False,False,False
GERMANY,UNEMPLOYMENT,POLICY_RATE,0.9013009844539631,0.5451449086108626,12,1050,False,False,False
GERMANY,UNEMPLOYMENT,UNEMPLOYMENT,,,-1,-1,False,False,True
GERMANY,UNEMPLOYMENT,GDP,1.6329856052818572,0.07699662449109217,12,1050,False,False,False
GERMANY,UNEMPLOYMENT,M2,0.8118773533562312,0.6384343468435184,12,1050,False,False,False
GERMANY,GDP,CPI,1.9265363068243067,0.027928845410297727,12,1050,True,False,False
GERMANY,GDP,POLICY_RATE,1.0374782041528634,0.4113814242300194,12,1050,False,False,False
GERMANY,GDP,UNEMPLOYMENT,1.7429559722057248,0.053260109014671465,12,1050,False,False,False
GERMANY,GDP,GDP,,,-1,-1,False,False,True
GERMANY,GDP,M2,3.485023605761907,4.5311007351338444e-05,12,1050,True,True,False
GERMANY,M2,CPI,0.9776058343194941,0.4682845134939606,12,1050,False,False,False
GERMANY,M2,POLICY_RATE,0.738534954313292,0.7142315376841257,12,1050,False,False,False
GERMANY,M2,UNEMPLOYMENT,0.8731525091990506,0.5743244905064386,12,1050,False,False,False
GERMANY,M2,GDP,2.0787680373829076,0.015948382787298484,12,1050,True,False,False
GERMANY,M2,M2,,,-1,-1,False,False,True
