country,shock,narrative_label,peak_horizon,peak_irf,peak_se,peak_ci_lo,peak_ci_up,trough_horizon,trough_irf,pct_horizons_ci_excludes_zero
USA,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),4,-0.14867182979952148,0.05050681846282435,-0.2476651939866572,-0.04967846561238576,4,-0.14867182979952148,16.7
USA,M2,N2 · Quantity Theory of Money,6,-0.0932430880724188,0.04923554439900436,-0.18974475509446737,0.003258578949629762,6,-0.0932430880724188,0.0
USA,UNEMPLOYMENT,N1 · Phillips Curve,5,0.26687364403479324,0.0949262419874521,0.08081820973938714,0.45292907833019935,17,-0.061871102335188805,20.8
USA,GDP,Demand-side inflation,3,0.09084540043557841,0.04994143961756762,-0.007039821214854122,0.18873062208601094,10,0.010352250353986068,0.0
JAPAN,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),4,-0.029043450945685508,0.016795443344429027,-0.0619625199007664,0.0038756180093953846,4,-0.029043450945685508,0.0
JAPAN,M2,N2 · Quantity Theory of Money,1,0.024824050965541154,0.017551049543189146,-0.009576006139109569,0.05922410807019188,3,-0.017939509056342166,0.0
JAPAN,UNEMPLOYMENT,N1 · Phillips Curve,5,-0.025506177279844545,0.017163320974800594,-0.0591462863904537,0.008133931830764617,5,-0.025506177279844545,0.0
JAPAN,GDP,Demand-side inflation,2,-0.02400788878753695,0.016429946429526058,-0.056210583789408027,0.008194806214334126,2,-0.02400788878753695,4.2
UK,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),14,-0.02252460480925034,0.012963287590795762,-0.04793264848721003,0.002883438868709353,14,-0.02252460480925034,0.0
UK,M2,N2 · Quantity Theory of Money,1,-0.033152132883627256,0.014498057803513945,-0.061568326178514585,-0.004735939588739926,1,-0.033152132883627256,4.2
UK,UNEMPLOYMENT,N1 · Phillips Curve,1,0.042076305001261,0.015029201482872519,0.012619070094830865,0.07153353990769114,5,-0.02806313219141843,8.3
UK,GDP,Demand-side inflation,1,0.049466161669584674,0.016068217493114868,0.01797245538307953,0.08095986795608981,3,-0.029554068213229402,12.5
GERMANY,POLICY_RATE,N2 · Monetary Policy Lag (direct channel),12,-0.025637128495472634,0.019430693299157864,-0.06372128736182205,0.012447030370876782,12,-0.025637128495472634,0.0
GERMANY,M2,N2 · Quantity Theory of Money,7,0.02784265997361843,0.01806318059184112,-0.007561173986390165,0.06324649393362702,6,-0.025602152677471218,0.0
GERMANY,UNEMPLOYMENT,N1 · Phillips Curve,11,-0.04066648155693285,0.021654605418943956,-0.08310950817806301,0.0017765450641973046,11,-0.04066648155693285,0.0
GERMANY,GDP,Demand-side inflation,8,0.06459443590402135,0.021268163000104135,0.022908836423817247,0.10628003538422545,2,-0.05212333632629935,16.7
