country,horizon,share_CPI_self,share_POLICY_RATE,share_M2,share_UNEMPLOYMENT,share_GDP,share_total_check
GERMANY,1,0.9936,0.0042,0.0011,0.0004,0.0006,0.9999
GERMANY,3,0.9511,0.0076,0.0058,0.0023,0.0333,1.0001
GERMANY,6,0.9273,0.0117,0.0175,0.0046,0.0389,1.0
GERMANY,12,0.8476,0.0168,0.0238,0.032,0.0797,0.9999
GERMANY,24,0.8214,0.0233,0.0256,0.0392,0.0906,1.0001
JAPAN,1,0.9877,0.0001,0.0074,0.0044,0.0003,0.9999
JAPAN,3,0.9611,0.0134,0.0108,0.006,0.0088,1.0001
JAPAN,6,0.9303,0.0265,0.0121,0.0183,0.0127,0.9999
JAPAN,12,0.9213,0.0279,0.0137,0.0196,0.0175,1.0
JAPAN,24,0.9204,0.0279,0.0139,0.0197,0.0181,1.0
UK,1,0.8963,0.0005,0.0209,0.0358,0.0465,1.0
UK,3,0.847,0.0097,0.0256,0.039,0.0786,0.9999
UK,6,0.8062,0.013,0.0246,0.0572,0.099,1.0
UK,12,0.7817,0.0204,0.033,0.0674,0.0975,1.0
UK,24,0.7627,0.0256,0.0421,0.0699,0.0998,1.0001
USA,1,0.9309,0.0003,0.0002,0.0678,0.0009,1.0001
USA,3,0.7634,0.0201,0.0014,0.1988,0.0163,1.0
USA,6,0.627,0.0648,0.0205,0.2696,0.018,0.9999
USA,12,0.6136,0.0682,0.028,0.268,0.0222,1.0
USA,24,0.5476,0.1411,0.0282,0.2473,0.0357,0.9999
