country,origin_date,horizon,target_date,variable,forecast,actual,error
USA,2020-01-01,1,2020-02-01,GDP,2.7149161783897133,-0.252072,2.9669881783897134
USA,2020-01-01,1,2020-02-01,UNEMPLOYMENT,0.10034870920006533,-0.10000000000000009,0.20034870920006542
USA,2020-01-01,1,2020-02-01,CPI,2.386824626910556,2.3413166797595197,0.045507947151036454
USA,2020-01-01,1,2020-02-01,POLICY_RATE,-0.07857909962850934,0.030000000000000027,-0.10857909962850937
USA,2020-01-01,1,2020-02-01,M2,6.485749216872075,6.80463,-0.3188807831279252
USA,2020-01-01,3,2020-04-01,GDP,2.646711715278636,-6.727971,9.374682715278636
USA,2020-01-01,3,2020-04-01,UNEMPLOYMENT,-0.13098294812697833,10.4,-10.53098294812698
USA,2020-01-01,3,2020-04-01,CPI,3.098995603382418,0.3130472940411133,2.785948309341305
USA,2020-01-01,3,2020-04-01,POLICY_RATE,0.13133838231600248,-0.6,0.7313383823160025
USA,2020-01-01,3,2020-04-01,M2,11.333209607069023,16.928063,-5.594853392930979
USA,2020-01-01,6,2020-07-01,GDP,3.42037823116757,-0.058636,3.47901423116757
USA,2020-01-01,6,2020-07-01,UNEMPLOYMENT,-0.0920624201605624,-0.8000000000000007,0.7079375798394383
USA,2020-01-01,6,2020-07-01,CPI,4.290090056664608,0.9968647625897997,3.2932252940748086
USA,2020-01-01,6,2020-07-01,POLICY_RATE,0.4317469426976345,0.009999999999999995,0.42174694269763446
USA,2020-01-01,6,2020-07-01,M2,19.883916038436716,23.165489,-3.2815729615632847
USA,2020-01-01,12,2021-01-01,GDP,9.382655040697694,4.273113,5.1095420406976935
USA,2020-01-01,12,2021-01-01,UNEMPLOYMENT,-0.5222513575897243,-0.2999999999999998,-0.22225135758972447
USA,2020-01-01,12,2021-01-01,CPI,2.1573559355740626,1.3738437137002402,0.7835122218738224
USA,2020-01-01,12,2021-01-01,POLICY_RATE,0.755715977661418,0.0,0.755715977661418
USA,2020-01-01,12,2021-01-01,M2,20.818118894607355,25.61661,-4.798491105392646
USA,2020-02-01,1,2020-03-01,GDP,-2.432828878446345,-3.504529,1.0717001215536546
USA,2020-02-01,1,2020-03-01,UNEMPLOYMENT,-0.0014064492568812703,0.9000000000000004,-0.9014064492568816
USA,2020-02-01,1,2020-03-01,CPI,1.987408158161408,1.4940399642909163,0.4933681938704917
