country,variable,horizon,n_obs,rmse,mae,mean_bias,mase
USA,GDP,1,58,2.0559997465519766,1.1957922705317743,-0.042788679804325484,5.390513471219858
USA,GDP,3,58,8.558189452177459,5.092153842030638,-0.48924802892400315,22.95492667031814
USA,GDP,6,58,20.893842255591448,9.685659293919468,-1.8347502051110383,43.66199563934327
USA,GDP,12,58,34.838673283365324,14.416878214354217,-1.6024656566123923,64.98986332538557
USA,UNEMPLOYMENT,1,58,4.987194407750317,2.5059190539145977,0.7226477280618714,16.034898708084473
USA,UNEMPLOYMENT,3,58,4.490735050688705,2.299890558413266,0.14995392657558873,14.716561608894402
USA,UNEMPLOYMENT,6,58,4.433226478531982,1.9725993645341018,-0.07258589724430785,12.62228760044142
USA,UNEMPLOYMENT,12,58,26.89580136106583,5.60163362363829,-4.087649686986487,35.843786579828326
USA,CPI,1,58,2.0800466866185747,1.19059888945619,-0.33359007906299754,3.73325898834838
USA,CPI,3,58,6.268473303440742,3.703294623432327,-0.8817315340943956,11.6121038427524
USA,CPI,6,58,11.785474991488595,6.5819714868300485,-1.5868373720752984,20.63852438623092
USA,CPI,12,58,18.996277745721017,10.306926499115622,0.035401884379353724,32.318546855561614
USA,POLICY_RATE,1,58,0.4862735029810604,0.3116730750209485,0.030209024537062267,4.996995609955548
USA,POLICY_RATE,3,58,0.801958687925177,0.4942662368718338,0.0207540189820612,7.924477324939913
USA,POLICY_RATE,6,58,1.0484982062426662,0.6019556634437823,0.045061430205082846,9.651041583923426
USA,POLICY_RATE,12,58,1.7080450839523371,0.9472473075471751,-0.04797599878267326,15.187037369324576
USA,M2,1,58,1.9544753948176663,1.2347981733884812,-0.005578836423779876,3.206303206095672
USA,M2,3,58,3.452282493413189,2.196877861384694,-0.04889846610721592,5.704459791213404
USA,M2,6,58,5.857160094970608,3.4382139026953578,-0.24408512911247396,8.927739364242306
USA,M2,12,58,13.699143733165034,6.567003961306837,-1.9780045015102492,17.052022192258868
JAPAN,GDP,1,58,0.8503929031312527,0.4916869645740776,0.06555656018030749,1.4026565802979962
JAPAN,GDP,3,58,2.7901540791186332,1.7582808215449304,0.1830221554830481,5.015923426988058
JAPAN,GDP,6,58,3.931596627321141,2.290683763289685,0.18141416148273276,6.534732228956573
JAPAN,GDP,12,58,4.319426955763465,2.602837210892295,0.3930855282791763,7.4252258130640705
JAPAN,UNEMPLOYMENT,1,58,0.087976163707817,0.07108258232961323,-0.017036166651591193,0.4927810922236989
JAPAN,UNEMPLOYMENT,3,58,0.09490357499994254,0.07709174389521581,-0.01259242059596875,0.5344396969422934
JAPAN,UNEMPLOYMENT,6,58,0.10641350309194483,0.08434761034046984,-0.00862555545360991,0.5847411023603122
JAPAN,UNEMPLOYMENT,12,58,0.10092714341867494,0.07508868931468475,-0.013224413187088318,0.5205534903410659
JAPAN,CPI,1,58,0.32013226120514654,0.24290432630540942,-0.009305609272774944,0.8926240283743494
JAPAN,CPI,3,58,0.3317748444415084,0.26252547016172545,-0.0492605466701555,0.9647277440089416
JAPAN,CPI,6,58,0.32039565774314877,0.24787438323303684,-0.03205736631868256,0.9108879774092079
JAPAN,CPI,12,58,0.34337306466851997,0.28140327471444615,-0.06452749338408371,1.0340998387880453
JAPAN,POLICY_RATE,1,58,0.03247804312118424,0.021818264618443023,-0.0017718394574799618,1.7562973688164936
JAPAN,POLICY_RATE,3,58,0.03208044242899606,0.020228771945164824,-0.004221141256666942,1.628348521891618
JAPAN,POLICY_RATE,6,58,0.03775378531087658,0.02028598734634367,-0.006764818523191222,1.632954170429827
JAPAN,POLICY_RATE,12,58,0.037797519366774265,0.01942062022362413,-0.006576884350890238,1.5632950097554301
JAPAN,M2,1,58,0.2859345008418642,0.18502742798029395,0.026926522093715224,1.3447945648749158
JAPAN,M2,3,58,0.36762633124477595,0.23238475429878958,0.02531615163962972,1.6889915076487378
JAPAN,M2,6,58,0.38192706616679023,0.2476722563619886,0.048009649673107765,1.8001023300252652
JAPAN,M2,12,58,0.4467716311068507,0.2715446575916259,0.04620496818719038,1.9736089056425221
UK,GDP,1,51,5.814360053989252,3.696629371506254,0.08915358398238793,17.327565028758798
UK,GDP,3,51,31.79244980655659,16.010068994771,1.5602233745945489,75.04553033099228
UK,GDP,6,51,197.77499826558588,55.42251731126242,16.490976315539115,259.78727544901375
UK,GDP,12,51,5104.546553717876,918.5606236198873,565.3451620913427,4305.65721879373
UK,UNEMPLOYMENT,1,51,0.36349942474026586,0.2465296597673551,-0.05195559563948391,2.886823995203225
UK,UNEMPLOYMENT,3,51,0.9170817744946821,0.4142129429744563,-0.11346205917853391,4.850369176799332
UK,UNEMPLOYMENT,6,51,5.29060949328443,1.388524433704227,-0.47451588832772773,16.259405285862968
UK,UNEMPLOYMENT,12,51,134.64800384099885,23.92859032809856,-14.896782207556875,280.2000732720349
UK,CPI,1,51,0.8942602202343346,0.6018280472386829,0.07006940912478737,1.8953614209796459
UK,CPI,3,51,0.9957258885167478,0.6182280568264655,-0.009544730456268026,1.9470106347691982
UK,CPI,6,51,5.230650730916874,1.7781148626258196,-0.36204504451444164,5.599889084855003
UK,CPI,12,51,138.7548858646566,25.106181774800493,-14.89425104408521,79.06791413658891
UK,POLICY_RATE,1,51,0.42063046202922744,0.2942468392136334,-0.02507061440806244,1.9613505243246934
UK,POLICY_RATE,3,51,0.6733811215217609,0.39973079007962853,0.015353526458671043,2.664471084232049
UK,POLICY_RATE,6,51,3.0449580949079498,0.8102516231576113,0.2676437975196657,5.400864968208918
UK,POLICY_RATE,12,51,70.43254870992209,12.028906647285044,7.981247492694182,80.18064840647632
UK,M2,1,51,2.808047247675784,1.8108521084966491,-0.3139875034736332,2.4281124473435476
UK,M2,3,51,9.063969327998683,4.360042405485237,-1.0619385597799222,5.846238456487402
UK,M2,6,51,36.51285240246108,8.580233146957378,-3.867163138324402,11.504954384448816
UK,M2,12,51,792.3580438822797,133.99143088212236,-92.43919900934391,179.6647333240002
GERMANY,GDP,1,51,1.2106387307715072,0.7864705134255641,-0.04344041679688742,2.703781027497787
GERMANY,GDP,3,51,5.107598253973544,3.579170802709405,-0.7083828846959898,12.304713203282258
GERMANY,GDP,6,51,11.713436060473716,7.728266041416339,-2.910766629068653,26.568750819689306
GERMANY,GDP,12,51,36.86808413568106,18.80544126467411,-9.711684386722888,64.65060601405773
GERMANY,UNEMPLOYMENT,1,51,0.09690038370587958,0.0713713587406226,0.02203539895150165,1.212776471833133
GERMANY,UNEMPLOYMENT,3,51,0.25144802760529783,0.1411566450258568,0.07380000936011566,2.3986016372814705
GERMANY,UNEMPLOYMENT,6,51,0.6094024787844182,0.3174035612436238,0.19686951931019323,5.39347404819991
GERMANY,UNEMPLOYMENT,12,51,1.7454133815524464,0.7035236591429076,0.5513827931259996,11.954612553856897
GERMANY,CPI,1,51,0.8091257302925479,0.5878222624755242,0.011401784729481144,1.478512103068039
GERMANY,CPI,3,51,1.3592018903386822,0.6999552160068876,0.14140322100000188,1.7605530183792213
GERMANY,CPI,6,51,1.0038501366541557,0.6188439241010345,0.06778266992949968,1.5565389235859302
GERMANY,CPI,12,51,1.9149229261056786,0.8999382720359567,0.1276973074663563,2.2635577319168
GERMANY,POLICY_RATE,1,51,0.16207676077229516,0.1277681714409466,0.02474037073405607,1.560831543067204
GERMANY,POLICY_RATE,3,51,0.3249972323303858,0.2547314388219749,0.04218539319451292,3.111830280110069
GERMANY,POLICY_RATE,6,51,0.5003763183024352,0.3602453709465288,0.024159684653030818,4.400801325368972
GERMANY,POLICY_RATE,12,51,1.1830235858860958,0.7378021190016241,-0.03824627243240912,9.013080541829705
GERMANY,M2,1,51,0.5850110198135494,0.43452910689456237,-0.03571289347044443,1.401784708932739
GERMANY,M2,3,51,1.7148284161722414,0.9744930125440262,-0.22505184324028388,3.143700576719893
GERMANY,M2,6,51,2.0039782650745033,0.9846798338233985,-0.36905238930146084,3.1765631170548945
GERMANY,M2,12,51,4.737636795089273,1.96298111727709,-0.7170002334387157,6.332549121480181
