country,variable,horizon,n_obs,rmse,mae,medae,rmse_trimmed,mae_trimmed,mase,medase,rmse_to_mae_ratio
USA,GDP,1,58,2.0559997465519766,1.1957922705317743,0.3731143840233465,1.474384226907863,0.9592039733041187,5.390513471219858,1.6819627981784198,1.7193619637946516
USA,GDP,3,58,8.558189452177459,5.092153842030638,1.560102760951131,6.162546496242808,4.160692578609797,22.95492667031814,7.032789186414886,1.6806619983744724
USA,GDP,6,58,20.893842255591448,9.685659293919468,2.6632773823842317,11.176115041393288,7.105414124648657,43.66199563934327,12.005791441479207,2.1571936015453623
USA,GDP,12,58,34.838673283365324,14.416878214354218,5.197353777398616,13.914108575141713,9.774593379060656,64.98986332538558,23.42915759047651,2.416519912658905
USA,UNEMPLOYMENT,1,58,4.987194407750317,2.5059190539145977,0.8219338427938685,2.8694365535418975,1.8130202573595469,16.034898708084473,5.259398101210763,1.9901658036238714
USA,UNEMPLOYMENT,3,58,4.490735050688705,2.299890558413266,0.5957401385336178,2.67607681451905,1.648726237256193,14.716561608894402,3.812027672164517,1.9525864108016253
USA,UNEMPLOYMENT,6,58,4.433226478531982,1.9725993645341018,0.6379784355494058,2.0997820804703444,1.3379765297424853,12.62228760044142,4.082302489378637,2.247403379641179
USA,UNEMPLOYMENT,12,58,26.89580136106583,5.60163362363829,0.5364759458542372,3.125944692493786,1.621632022927754,35.843786579828326,3.4328073916268136,4.801421008251673
USA,CPI,1,58,2.0800466866185747,1.19059888945619,0.4915634909288915,1.308985674122179,0.9069147640284586,3.73325898834838,1.541353546610811,1.7470591523637677
USA,CPI,3,58,6.268473303440743,3.703294623432327,1.4025978152763035,4.8026131172882085,3.0467788915543204,11.6121038427524,4.398005866870697,1.6926747506875188
USA,CPI,6,58,11.785474991488595,6.5819714868300485,2.9990084116380276,7.370032003246837,5.010351060108674,20.63852438623092,9.4037338754733,1.7905691349575585
USA,CPI,12,58,18.996277745721017,10.306926499115624,4.912929973325354,11.047160959446986,7.5910564370131945,32.318546855561614,15.40505383002706,1.8430593977119147
USA,POLICY_RATE,1,58,0.4862735029810604,0.3116730750209485,0.1446197655934372,0.3842089783186374,0.26810108429850454,4.996995609955548,2.3186614170461586,1.5602037582116342
USA,POLICY_RATE,3,58,0.801958687925177,0.4942662368718337,0.19230756903181626,0.6099579863258179,0.4116542902843118,7.924477324939911,3.083230972545897,1.6225237090858178
USA,POLICY_RATE,6,58,1.0484982062426662,0.6019556634437823,0.2494307354072407,0.7626472323180493,0.47985875165701775,9.651041583923426,3.9990759218908822,1.7418196553616898
USA,POLICY_RATE,12,58,1.7080450839523371,0.947247307547175,0.5410173940340022,0.9694410660431231,0.7196019384847469,15.187037369324575,8.674029807405699,1.803166998041082
USA,M2,1,58,1.9544753948176663,1.234798173388481,0.5312760677058886,1.5458748466084924,1.0475108901777674,3.2063032060956718,1.379522739763054,1.5828298396767768
USA,M2,3,58,3.452282493413189,2.196877861384694,0.9829805422180944,2.753667671371625,1.8828763197492577,5.704459791213404,2.5524281878346837,1.5714494438198818
USA,M2,6,58,5.857160094970608,3.4382139026953578,1.4602593091817653,4.101280815674128,2.7651556710469958,8.927739364242306,3.791740387752846,1.703547324492795
USA,M2,12,58,13.699143733165037,6.567003961306837,3.2802123837828363,6.156718192774179,4.518070398093285,17.052022192258868,8.517469258912453,2.0860568706644878
JAPAN,GDP,1,58,0.8503929031312527,0.4916869645740776,0.23790087639887153,0.5659476647173289,0.38022667382920555,1.4026565802979962,0.6786700762518652,1.729541282160903
JAPAN,GDP,3,58,2.7901540791186332,1.7582808215449304,0.8829493838451201,2.1726025274574057,1.4767871094086735,5.015923426988058,2.518827735026988,1.586864876719202
JAPAN,GDP,6,58,3.931596627321141,2.290683763289685,0.9339770245085627,2.644351727855378,1.7818214779793649,6.534732228956573,2.66439648325618,1.7163419457231919
JAPAN,GDP,12,58,4.319426955763465,2.602837210892295,1.486451970158696,2.7770000645202937,2.0413219271553853,7.4252258130640705,4.240465555246365,1.6595071476954546
JAPAN,UNEMPLOYMENT,1,58,0.08797616370781697,0.07108258232961319,0.05767935745290795,0.07784998194416967,0.06701400102767872,0.49278109222369865,0.3998630301950059,1.2376613345287242
JAPAN,UNEMPLOYMENT,3,58,0.0949035749999425,0.07709174389521577,0.07123707079484205,0.08527663107925455,0.07314100957350836,0.5344396969422932,0.4938520858783527,1.231047193963297
JAPAN,UNEMPLOYMENT,6,58,0.10641350309194482,0.0843476103404698,0.086679154171596,0.09500851457004898,0.07974978260145425,0.5847411023603118,0.6009045657294689,1.2616066141341276
JAPAN,UNEMPLOYMENT,12,58,0.1009271434186749,0.07508868931468472,0.07201996212857664,0.08596417785485153,0.06882511727586452,0.5205534903410657,0.49927949205700356,1.3441058079427293
JAPAN,CPI,1,58,0.32013226120514654,0.24290432630540937,0.20829982732409508,0.27209939584830534,0.22439422044847565,0.8926240283743492,0.7654595280527716,1.3179356089468603
JAPAN,CPI,3,58,0.33177484444150834,0.2625254701617254,0.2283088589095052,0.2845825811526797,0.24367940787309147,0.9647277440089413,0.8389886522528153,1.2637815456044046
