country,lag,aic,bic,hqic,fpe,is_selected_aic,is_selected_bic,is_selected_hqic,is_selected_fpe
GERMANY,0,-10.846800054554208,-10.781555070495024,-10.820624269830299,1.94668040510597e-05,False,False,False,False
GERMANY,1,-14.761806082519715,-14.370336178164612,-14.604751374176253,3.8818936536332e-07,False,False,False,False
GERMANY,2,-15.547170279410004,-14.82947545475898,-15.259236647446988,1.770269981494667e-07,False,True,False,False
GERMANY,3,-15.700938316365612,-14.657018571418666,-15.282125760783043,1.5186079367381e-07,False,False,True,False
GERMANY,4,-15.75650389238833,-14.386359227145464,-15.206812413186208,1.4376840461439323e-07,False,False,False,False
GERMANY,5,-15.943026693923429,-14.24665710838464,-15.262456291101753,1.1945985982950077e-07,False,False,False,False
GERMANY,6,-15.842725670878437,-13.820131165043728,-15.031276344437208,1.3231652300322764e-07,False,False,False,False
GERMANY,7,-15.855435824384392,-13.506616398253765,-14.913107574323611,1.3099278987219262e-07,False,False,False,False
GERMANY,8,-15.932895278322993,-13.257850931896446,-14.85968810464266,1.2165695295329903e-07,False,False,False,False
GERMANY,9,-15.878558077168746,-12.877288810446277,-14.674471979868859,1.29032230425561e-07,False,False,False,False
GERMANY,10,-15.842507717399132,-12.515013530380742,-14.50754269647969,1.3452693132080482e-07,False,False,False,False
GERMANY,11,-15.855584914558795,-12.201865807244484,-14.389740970019801,1.3370160502374332e-07,False,False,False,False
GERMANY,12,-16.117563381908624,-12.137619354298394,-14.520840513750079,1.0374869906723373e-07,True,False,False,True
