country,lag,aic,bic,hqic,fpe,is_selected_aic,is_selected_bic,is_selected_hqic,is_selected_fpe
JAPAN,0,-15.401732709278457,-15.337653951729884,-15.376045129944476,2.046974983757056e-07,False,False,False,False
JAPAN,1,-18.554837835724012,-18.170365290432574,-18.40071235972013,8.744798899782435e-09,False,False,False,False
JAPAN,2,-19.0988411860435,-18.3939748530092,-18.816277813369723,5.076471726730368e-09,False,True,True,False
JAPAN,3,-19.180676862024598,-18.155416741247436,-18.769675592680922,4.67944677225318e-09,False,False,False,False
JAPAN,4,-19.133575067136803,-17.787921158616776,-18.594135901123227,4.9087958070326e-09,False,False,False,False
JAPAN,5,-19.301361069705518,-17.635313373442624,-18.633484007022044,4.155564659559638e-09,True,False,False,True
JAPAN,6,-19.276043692389983,-17.289602208384224,-18.479728733036605,4.269695781502543e-09,False,False,False,False
JAPAN,7,-19.20462107282245,-16.89778580107383,-18.279868216799176,4.5971107241677826e-09,False,False,False,False
JAPAN,8,-19.12948043944504,-16.502251379953556,-18.076289686751867,4.972062214987281e-09,False,False,False,False
JAPAN,9,-19.088929216194035,-16.141306368959686,-17.907300566830962,5.199568546202233e-09,False,False,False,False
JAPAN,10,-19.02631202805745,-15.758295393080239,-17.71624548202448,5.56462917733041e-09,False,False,False,False
JAPAN,11,-18.97185249739993,-15.38344207467985,-17.533348054697058,5.91388767091053e-09,False,False,False,False
JAPAN,12,-19.245195666572613,-15.336391456109672,-17.678253327199844,4.534355285051127e-09,False,False,False,False
