country,lag,aic,bic,hqic,fpe,is_selected_aic,is_selected_bic,is_selected_hqic,is_selected_fpe
UK,0,-7.425092114267505,-7.359847130208321,-7.398916329543594,0.0005961060567760197,False,False,False,False
UK,1,-9.87082697631009,-9.479357071954986,-9.713772267966627,5.166172109102476e-05,False,False,False,False
UK,2,-10.53683272858876,-9.819137903937735,-10.248899096625744,2.654614460959633e-05,False,True,True,False
UK,3,-10.56917701564381,-9.525257270696864,-10.15036446006124,2.5712320961502897e-05,False,False,False,False
UK,4,-10.625570313743884,-9.255425648501017,-10.075878834541761,2.4322017333947258e-05,False,False,False,False
UK,5,-10.704358319160491,-9.007988733621703,-10.023787916338815,2.250851112074426e-05,False,False,False,False
UK,6,-10.868555891277097,-8.845961385442388,-10.057106564835868,1.913676692116104e-05,False,False,False,False
UK,7,-10.802617819567613,-8.453798393436987,-9.860289569506833,2.0495493001292208e-05,False,False,False,False
UK,8,-10.874254940232529,-8.19921059380598,-9.801047766552195,1.9145932329946892e-05,False,False,False,False
UK,9,-10.850657286318057,-7.8493880195955885,-9.64657118901817,1.9691906884383865e-05,False,False,False,False
UK,10,-10.774416218655567,-7.446922031637177,-9.439451197736126,2.137240559166905e-05,False,False,False,False
UK,11,-10.855063220070736,-7.201344112756425,-9.389219275531742,1.9853432303624208e-05,False,False,False,False
UK,12,-11.27235199897879,-7.292407971368558,-9.675629130820242,1.3189587913109643e-05,True,False,False,True
