country,lag,aic,bic,hqic,fpe,is_selected_aic,is_selected_bic,is_selected_hqic,is_selected_fpe
USA,0,1.2925861629518873,1.3585191575940054,1.3190499643700628,3.6421942828992337,False,False,False,False
USA,1,-8.484617960804732,-8.089019992952025,-8.325835152295678,0.00020662955656964663,False,False,False,False
USA,2,-9.836415454199795,-9.111152513136496,-9.545313638599863,5.348017316694635e-05,False,True,True,False
USA,3,-9.791645404955633,-8.736717490681743,-9.368224582264821,5.5954017505621864e-05,False,False,False,False
USA,4,-9.970558722433642,-8.585965834949164,-9.414818892651954,4.68268996162955e-05,False,False,False,False
USA,5,-10.091831395397165,-8.377573534702094,-9.403772558524597,4.1535259604659216e-05,False,False,False,False
USA,6,-10.157819225932204,-8.113896392026545,-9.337441381968759,3.8960804854831396e-05,False,False,False,False
USA,7,-10.146245759187925,-7.7726579520716745,-9.193548908133602,3.95238506921878e-05,False,False,False,False
USA,8,-10.219979864944472,-7.5167270846176315,-9.13496400679927,3.684983917665559e-05,False,False,False,False
USA,9,-10.39009198520114,-7.357174231663709,-9.17275711996506,3.1232627143007165e-05,False,False,False,False
USA,10,-10.564188071949177,-7.201605345201155,-9.214534199622218,2.639766796918691e-05,False,False,False,False
USA,11,-10.636049604017895,-6.943801904059283,-9.15407672460006,2.4745738487480654e-05,False,False,False,False
USA,12,-10.969168678016255,-6.947256004847051,-9.35487679150754,1.78902583467545e-05,True,False,False,True
