country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
USA,primary,0.001,-3.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,7.808555089677686e-07,0.8718701539414184
USA,primary,0.0031622776601683794,-2.5,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,6.443150741551426e-06,0.813392925313872
USA,primary,0.01,-2.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,4.162832521197519e-05,0.7052651065700734
USA,primary,0.03162277660168379,-1.5,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.00019703979128659542,0.610041418518523
USA,primary,0.1,-1.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.0006857780710616427,0.6293399717233725
USA,primary,0.31622776601683794,-0.5,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.0019510688037321245,0.6935994210576536
USA,primary,1.0,0.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.005870006930643802,0.6625686584884933
USA,primary,3.1622776601683795,0.5,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.01737484634174146,0.6261673604759405
USA,primary,10.0,1.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.039468982863374705,0.7440888499336857
USA,primary,31.622776601683793,1.5,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.07303394004635037,0.9542255404101425
USA,primary,100.0,2.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.12742566129857075,1.1767988642312208
USA,primary,316.22776601683796,2.5,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.21263934430715625,1.3613842069128708
USA,primary,1000.0,3.0,0,2003-01-01,2005-10-01,2005-11-01,2008-08-01,34,34,0.3243655256410788,1.4384246536499419
USA,primary,0.001,-3.0,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.016060959837915022,34.45669100413553
USA,primary,0.0031622776601683794,-2.5,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.016068638262865004,32.30197244281281
USA,primary,0.01,-2.0,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.016123963876039676,26.817245809438887
USA,primary,0.03162277660168379,-1.5,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.01644880174428684,16.647979642000376
USA,primary,0.1,-1.0,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.017703860421139125,6.184201230230819
USA,primary,0.31622776601683794,-0.5,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.020962488618246906,1.7775269002486125
USA,primary,1.0,0.0,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.028198825021502453,1.5902000536532768
USA,primary,3.1622776601683795,0.5,1,2003-01-01,2008-08-01,2008-09-01,2011-06-01,68,34,0.04264375517934444,1.5547371410370003
