country,form,rank,feature_name,category,coef_full_train,coef_fold_mean,coef_fold_std,sign_stable,selected_alpha
USA,primary,1,USA_CPI_roll3_mean,rolling,0.713829379569579,0.48596874378606164,0.24074114171532876,True,10.0
USA,primary,2,USA_CPI_lag1,lag,0.3895643467927136,0.3190444438039397,0.1568605612430424,True,10.0
USA,primary,3,USA_CPI_roll12_mean,rolling,0.22438310820360585,0.17103819912500465,0.049668209714262536,True,10.0
USA,primary,4,USA_CPI_lag3,lag,-0.18672779352371965,-0.13794211283490548,0.018127334442132836,True,10.0
USA,primary,5,USA_GDP_roll12_std,rolling,-0.17209619397396056,-0.13472063004402596,0.10058935348059685,True,10.0
USA,primary,6,USA_CPI_lag12,lag,-0.15882823573560367,-0.23574779267721171,0.1073335830538364,True,10.0
USA,primary,7,USA_POLICY_RATE_lag3,lag,-0.11389516006223316,-0.10622603235782668,0.050243130711478234,True,10.0
USA,primary,8,USA_UNEMPLOYMENT_roll12_mean,rolling,0.11209851097306467,0.0676173210128365,0.04570341827751938,False,10.0
USA,primary,9,USA_M2_lag12,lag,-0.09378469832930149,-0.09391775367681972,0.04823646260312326,True,10.0
USA,primary,10,USA_P_GFC,period,-0.09281245829250237,-0.05913147342840401,0.06215031492675912,False,10.0
JAPAN,primary,1,JAPAN_CPI_roll3_mean,rolling,0.009968710339411107,0.004951856331992418,0.002925197009471482,True,3162.2776601683795
JAPAN,primary,2,JAPAN_CPI_lag12,lag,0.006886695616356789,0.0040251022967690234,0.0017649458110867483,True,3162.2776601683795
JAPAN,primary,3,JAPAN_CPI_roll12_mean,rolling,0.004276084367470798,0.0018710908722942364,0.001303288304473565,True,3162.2776601683795
JAPAN,primary,4,JAPAN_POLICY_RATE_roll3_mean,rolling,0.0030709927171602507,0.0020052354026340183,0.0010470847864389767,True,3162.2776601683795
JAPAN,primary,5,JAPAN_CPI_roll3_std,rolling,0.003063069832194509,0.0004729493708490756,0.00138074112765353,False,3162.2776601683795
JAPAN,primary,6,JAPAN_CPI_lag1,lag,0.003012635525039533,0.0012171523467786063,0.0011177324278025408,False,3162.2776601683795
JAPAN,primary,7,JAPAN_POLICY_RATE,base,0.0027289482079272506,0.0017091304869830779,0.0011730139355866167,True,3162.2776601683795
JAPAN,primary,8,JAPAN_CPI_lag3,lag,-0.0027211282108125395,-0.0015022417643620165,0.000658704256547431,True,3162.2776601683795
JAPAN,primary,9,JAPAN_P_GFC,period,-0.0026035365220633015,-0.0012594593015278516,0.0011678979734624317,False,3162.2776601683795
JAPAN,primary,10,JAPAN_POLICY_RATE_lag1,lag,0.002565396169805116,0.0018946127753342353,0.0010119957373583624,True,3162.2776601683795
UK,primary,1,UK_CPI_lag12,lag,0.09906678267404866,0.07391216930497306,0.018935219746443105,True,100.0
UK,primary,2,UK_CPI_roll3_mean,rolling,0.07946465193663065,0.052822270807742176,0.02169897132432548,True,100.0
UK,primary,3,UK_CPI_lag1,lag,-0.041460656787713636,-0.025257326717965843,0.012756383975689267,True,100.0
UK,primary,4,UK_CPI_lag6,lag,0.03365028348141544,0.033914100839268116,0.005415974810856393,True,100.0
UK,primary,5,UK_POLICY_RATE,base,0.01764958188652422,0.013282993266635018,0.004737528202821333,True,100.0
UK,primary,6,UK_CPI_roll12_mean,rolling,0.01736673155487761,0.016176959856517667,0.0016714894592972686,True,100.0
UK,primary,7,UK_UNEMPLOYMENT_lag1,lag,0.017127419415381304,0.013172875278165335,0.0045070611222919905,True,100.0
UK,primary,8,UK_M2_roll3_std,rolling,0.01373311291226551,0.008448508339208575,0.004096170124337553,True,100.0
UK,primary,9,UK_P_GFC,period,-0.013628061607276675,-0.007635354066843345,0.007009582598062572,False,100.0
UK,primary,10,UK_GDP_lag12,lag,-0.011579632102017266,-0.006718755763486972,0.007451514929013593,False,100.0
GERMANY,primary,1,GERMANY_CPI_roll3_mean,rolling,0.15349300679409034,0.09815177657334771,0.030338082355438667,True,31.622776601683796
GERMANY,primary,2,GERMANY_CPI_lag12,lag,0.1253177894374261,0.09589638409569745,0.015918466916448302,True,31.622776601683796
GERMANY,primary,3,GERMANY_CPI_lag1,lag,-0.10658526892510943,-0.08422359004040043,0.013564084150099204,True,31.622776601683796
GERMANY,primary,4,GERMANY_UNEMPLOYMENT,base,-0.04024521064318,-0.02415301762315008,0.013460388699926402,True,31.622776601683796
GERMANY,primary,5,GERMANY_CPI_roll12_mean,rolling,0.03823061588868565,0.039356776539966165,0.004383403906521383,True,31.622776601683796
GERMANY,primary,6,GERMANY_M2_lag6,lag,-0.03395752099557905,-0.02047886736890197,0.007812174076494066,True,31.622776601683796
GERMANY,primary,7,GERMANY_CPI_roll3_std,rolling,0.030814868507890152,0.013455686774111372,0.009293855574552312,True,31.622776601683796
GERMANY,primary,8,GERMANY_POLICY_RATE_roll3_mean,rolling,-0.029327603424731105,-0.019392142578493997,0.007941717341789358,True,31.622776601683796
GERMANY,primary,9,GERMANY_POLICY_RATE_roll12_std,rolling,0.026583549957592368,0.012391787848550094,0.011068549570197551,False,31.622776601683796
GERMANY,primary,10,GERMANY_GDP_roll3_std,rolling,-0.025110337598434403,-0.004114960787528992,0.011586598469659828,False,31.622776601683796
USA,first_diff_secondary,1,USA_CPI_roll3_mean,rolling,0.35600586068109513,0.22831146193689822,0.12988852506532558,True,31.622776601683796
USA,first_diff_secondary,2,USA_POLICY_RATE_lag3,lag,-0.13609019122188074,-0.10620290003070239,0.0793611510714727,False,31.622776601683796
USA,first_diff_secondary,3,USA_CPI_lag3,lag,-0.13398114484260654,-0.11143125591782563,0.019448478861955065,True,31.622776601683796
USA,first_diff_secondary,4,USA_POLICY_RATE_lag12,lag,0.09534467179794934,0.06463135553239151,0.04634736286370872,True,31.622776601683796
USA,first_diff_secondary,5,USA_CPI_lag12,lag,-0.0864886995065037,-0.10080959577842626,0.03058635837969732,True,31.622776601683796
USA,first_diff_secondary,6,USA_CPI_roll3_std,rolling,-0.08423773029208308,-0.10356123823118968,0.03647694041412173,True,31.622776601683796
USA,first_diff_secondary,7,USA_CPI_lag6,lag,-0.07762777398877921,-0.03719117872432728,0.039941596794648766,False,31.622776601683796
USA,first_diff_secondary,8,USA_CPI_lag1,lag,-0.07501774238849881,-0.022526408039721914,0.019962810501129965,True,31.622776601683796
USA,first_diff_secondary,9,USA_POLICY_RATE,base,0.07412498913307777,0.06805702502939363,0.047139395122246464,True,31.622776601683796
USA,first_diff_secondary,10,USA_GDP_roll12_std,rolling,-0.06607755061100036,-0.025197445989310664,0.02871813984852391,False,31.622776601683796
