country,form,horizon,n_origins,rmse,mae,rmse_ratio_vs_naive,mase
USA,primary,1,58,1.4915983389314165,0.8600915499408293,2.9819710273193,2.6748562091556805
USA,primary,3,58,2.632841066812941,1.8977587262643425,2.2462047590741943,5.901966729910061
USA,primary,6,58,7.493427697911536,5.05965175481868,3.9706005227699133,15.735349235175319
USA,primary,12,58,8.01153838040415,5.4789278905283005,2.4563578892204725,17.039284118654678
JAPAN,primary,1,58,0.33147957552749885,0.2665369636424489,0.7421711894585887,0.9783689574525566
JAPAN,primary,3,58,0.34778708316870577,0.2831444626858254,0.8708765142055385,1.0393295885894789
JAPAN,primary,6,58,0.3566694881008774,0.2942148598821167,0.9776227628571817,1.0799653518828982
JAPAN,primary,12,58,0.37056787032044797,0.30559301747161244,0.9170790425044476,1.1217308016968277
UK,primary,1,51,0.44800104434888655,0.3446488592351189,0.7711323658991084,1.0974380912526305
UK,primary,3,51,0.41214248444088625,0.3039276809690175,0.5990821998930561,0.9677728654657617
UK,primary,6,51,0.45004547676643336,0.32742643392139165,0.9956649399738857,1.042598085093945
UK,primary,12,51,0.4613933991144149,0.3212458994520862,0.881509984974151,1.022917898233705
GERMANY,primary,1,51,0.5954753697138561,0.40950152118487937,0.9330957208767322,1.015364237333911
GERMANY,primary,3,51,0.6327199438655269,0.4248106729208686,0.7611130943764194,1.0533234740460597
GERMANY,primary,6,51,0.6418604520163326,0.4700985301913344,1.0491480492196383,1.1656152929503247
GERMANY,primary,12,51,0.7131501206780093,0.5579590525201857,1.0101080431534455,1.3834665770873549
USA,first_diff_secondary,1,58,1.0214281379010852,0.7660164086664768,1.1253886292104658,1.6335739414904598
USA,first_diff_secondary,3,58,1.496964484964559,1.0966488099399878,1.3714054428109101,2.3386665071615815
USA,first_diff_secondary,6,58,1.7480683148158138,1.1218244271974787,1.5912079122637552,2.3923549554082313
USA,first_diff_secondary,12,58,2.6583699755037076,1.4685559837261524,2.157308898739951,3.13177989334619
