country,horizon,ridge_mase,ridge_rmse,ridge_rmse_ratio_naive,var_mase_d060,var_aic_p,mase_delta_ridge_minus_var,pct_improvement_ridge,winner
GERMANY,1,1.015364237333911,0.5954753697138561,0.9330957208767322,1.48,12,-0.4646357626660891,31.394308288249263,Ridge
GERMANY,3,1.0533234740460595,0.6327199438655269,0.7611130943764194,1.76,12,-0.7066765259539405,40.15207533829207,Ridge
GERMANY,6,1.1656152929503247,0.6418604520163326,1.0491480492196383,1.56,12,-0.3943847070496753,25.281070964722772,Ridge
GERMANY,12,1.3834665770873549,0.7131501206780093,1.0101080431534455,2.26,12,-0.8765334229126449,38.78466473064801,Ridge
JAPAN,1,0.9783689574525566,0.3314795755274988,0.7421711894585887,0.89,5,0.08836895745255657,-9.929096342983884,VAR
JAPAN,3,1.0393295885894789,0.3477870831687057,0.8708765142055385,0.96,5,0.07932958858947892,-8.263498811404055,VAR
JAPAN,6,1.0799653518828982,0.3566694881008774,0.9776227628571816,0.91,5,0.16996535188289819,-18.67751119592288,VAR
JAPAN,12,1.1217308016968277,0.3705678703204479,0.9170790425044476,1.03,5,0.09173080169682768,-8.905903077361911,VAR
UK,1,1.0974380912526305,0.4480010443488865,0.7711323658991084,1.9,12,-0.8025619087473694,42.24010046038787,Ridge
UK,3,0.9677728654657616,0.4121424844408862,0.5990821998930561,1.95,12,-0.9822271345342384,50.3706222838071,Ridge
UK,6,1.042598085093945,0.4500454767664333,0.9956649399738856,5.6,12,-4.5574019149060545,81.38217705189383,Ridge
UK,12,1.022917898233705,0.4613933991144149,0.881509984974151,79.07,12,-78.04708210176629,98.70631352189996,Ridge
USA,1,2.6748562091556805,1.4915983389314165,2.9819710273193,3.73,12,-1.0551437908443195,28.28803728805146,Ridge
USA,3,5.901966729910061,2.632841066812941,2.2462047590741943,11.61,12,-5.708033270089938,49.16479991464202,Ridge
USA,6,15.73534923517532,7.493427697911536,3.970600522769913,20.64,12,-4.90465076482468,23.76284285283275,Ridge
USA,12,17.039284118654678,8.01153838040415,2.4563578892204725,32.32,12,-15.280715881345323,47.27944270218231,Ridge
