country,form,h,pair,layer_1,layer_2,n_paired,d_mean_squared,d_mean_absolute,dm_standard,p_standard,dm_hac,p_hac,dm_robust,p_robust,winner_standard_5pct,winner_hac_5pct,winner_robust_5pct,sig_standard_1pct,sig_standard_5pct,sig_hac_5pct,sig_robust_5pct,variant_agreement_5pct,beta_option,dm_scope,decision_linkage
USA,primary,1,ARIMA-VAR,ARIMA,VAR,58,-4.208270966442937,-0.9403038229741199,-2.5288739993691145,0.014235162310429539,-2.5509606545197214,0.01345204669863942,-4.168096267047295,0.00010554064893608661,ARIMA,ARIMA,ARIMA,False,True,True,True,True,True,primary_h1_3way,"D-048,D-051,D-062,D-068"
USA,primary,1,ARIMA-Ridge,ARIMA,Ridge,58,-2.1065423526329856,-0.609796483458759,-1.5162599478898242,0.1349802632870336,-1.529502644282003,0.13167100695135447,-3.7130926253038394,0.00046732229557444604,tie,tie,ARIMA,False,False,False,True,False,True,primary_h1_3way,"D-048,D-062,D-068"
USA,primary,1,VAR-Ridge,VAR,Ridge,58,2.10172861380995,0.33050733951536077,0.9786469386798434,0.331889965066817,0.9871942357987237,0.32771954827570426,1.2874225122638863,0.20315009412828222,tie,tie,tie,False,False,False,False,True,True,primary_h1_3way,"D-051,D-062,D-068,D-070"
USA,primary,3,VAR-Ridge,VAR,Ridge,58,32.36190547285259,1.8055358971679847,2.522027700409751,0.014486159029187817,2.2496177998090543,0.028351800861628806,2.6386816836353764,0.010712994336834702,Ridge,Ridge,Ridge,False,True,True,True,True,True,primary_hmulti_vr,"D-051,D-060,D-062,D-068,D-070"
USA,primary,6,VAR-Ridge,VAR,Ridge,58,82.74596211117533,1.5223197320113675,1.2746467158875343,0.207606100519506,1.1883802465447235,0.23961150397136577,1.1033470713207278,0.27451293868964566,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-062,D-068,D-070"
USA,primary,12,VAR-Ridge,VAR,Ridge,58,296.6738209718868,4.827998608587325,1.4823158963384921,0.14376416781424495,1.3742196276030136,0.17475308318026173,2.0965994738951306,0.04047828903945749,tie,tie,Ridge,False,False,False,True,False,True,primary_hmulti_vr,"D-051,D-060,D-062,D-068,D-070"
JAPAN,primary,1,ARIMA-VAR,ARIMA,VAR,58,0.008153091023598028,0.022749455258274605,0.4234957955165659,0.6735273411221132,0.42719451897832794,0.6708470921175715,1.0276834433038478,0.3084401772167191,tie,tie,tie,False,False,False,False,True,True,primary_h1_3way,"D-048,D-051,D-068"
JAPAN,primary,1,ARIMA-Ridge,ARIMA,Ridge,58,0.0007590466960273633,-0.0008831820787648534,0.09566378673285404,0.9241231410666544,0.09649929418340193,0.9234625297041323,-0.08009921964908946,0.9364389122505321,tie,tie,tie,False,False,False,False,True,True,primary_h1_3way,"D-048,D-068"
JAPAN,primary,1,VAR-Ridge,VAR,Ridge,58,-0.007394044327570664,-0.023632637337039464,-0.37180535728138564,0.7114164169616028,-0.3750526272962108,0.7090132775406752,-0.9305703101955157,0.356000485840696,tie,tie,tie,False,False,False,False,True,True,primary_h1_3way,"D-051,D-068,D-070"
JAPAN,primary,3,VAR-Ridge,VAR,Ridge,58,-0.010881307814809213,-0.02061899252409996,-0.6069968161207976,0.5462634089265745,-0.6718985372058931,0.5043626189093628,-0.795828825643356,0.4294334334669969,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
JAPAN,primary,6,VAR-Ridge,VAR,Ridge,58,-0.024559746241477047,-0.04634047664907979,-1.3248859696665385,0.19049596906134125,-1.6818816415975482,0.09806327580222596,-1.9682309525206942,0.05391223669839884,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
JAPAN,primary,12,VAR-Ridge,VAR,Ridge,58,-0.019415484973980747,-0.024189742757166316,-0.8849230663438816,0.3799159366004443,-1.5285294964978775,0.13191197201919969,-0.8702722147677507,0.38780201118191093,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
UK,primary,1,ARIMA-VAR,ARIMA,VAR,51,-0.6390943886233907,-0.3131289554768151,-3.1669797770151207,0.002625056684428806,-3.1984927897657043,0.002398423315426834,-3.43286745010328,0.001207963959344971,ARIMA,ARIMA,ARIMA,True,True,True,True,True,True,primary_h1_3way,"D-048,D-051,D-068"
UK,primary,1,ARIMA-Ridge,ARIMA,Ridge,51,-0.04009798286752296,-0.055949767473251096,-1.4075551509625899,0.16544958125743814,-1.4215610198163657,0.16136145122920986,-1.9272261740571996,0.059642860781633944,tie,tie,tie,False,False,False,False,True,True,primary_h1_3way,"D-048,D-068"
UK,primary,1,VAR-Ridge,VAR,Ridge,51,0.5989964057558679,0.257179188003564,2.864127333989517,0.006097453829893684,2.8926268153724934,0.005643808930693606,2.6964632946189493,0.00952457392534889,Ridge,Ridge,Ridge,True,True,True,True,True,True,primary_h1_3way,"D-051,D-068,D-070"
UK,primary,3,VAR-Ridge,VAR,Ridge,51,0.8216086175813606,0.314300375857448,2.0479189640523976,0.04583809658686877,2.072016433733955,0.04344121451426575,2.6503268260200916,0.010739083739113031,Ridge,Ridge,Ridge,False,True,True,True,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
UK,primary,6,VAR-Ridge,VAR,Ridge,51,27.157166137683305,1.4506884287044284,1.0358800902929568,0.3052421914665231,1.014924471601088,0.3150280517176294,1.8475976661642803,0.07058074136392722,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
UK,primary,12,VAR-Ridge,VAR,Ridge,51,19252.705467445136,24.784935875348403,0.790696362347667,0.4328557478442221,0.848482097062513,0.4002134296861284,0.9942938887597913,0.324867484263057,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
GERMANY,primary,1,ARIMA-VAR,ARIMA,VAR,51,-0.3142074930819786,-0.1834753509639902,-1.6829516287060133,0.0986195343182068,-1.6996978285140885,0.09540168772606661,-2.563943741766346,0.013401354510853558,tie,tie,ARIMA,False,False,False,True,False,True,primary_h1_3way,"D-048,D-051,D-068"
GERMANY,primary,1,ARIMA-Ridge,ARIMA,Ridge,51,-0.014113961596383203,-0.005154609673345528,-0.2948581861304341,0.7693230668669861,-0.29779217069408037,0.7670956847600441,-0.13816467766428445,0.8906652103522721,tie,tie,tie,False,False,False,False,True,True,primary_h1_3way,"D-048,D-068"
GERMANY,primary,1,VAR-Ridge,VAR,Ridge,51,0.30009353148559537,0.17832074129064476,1.8209686906182685,0.07459800200153799,1.8390882283501933,0.07184413419764324,2.7201982675887617,0.008950154753547768,tie,tie,Ridge,False,False,False,True,False,True,primary_h1_3way,"D-051,D-068,D-070"
GERMANY,primary,3,VAR-Ridge,VAR,Ridge,51,1.4470952513350521,0.27514454308601904,1.0214200407707748,0.3119722816899624,1.0496575936108392,0.29892272990719637,1.6585708711820992,0.10346348420024487,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
GERMANY,primary,6,VAR-Ridge,VAR,Ridge,51,0.5957302569979553,0.14874539390970015,0.9769057837943604,0.3333188575855697,1.0458245370604689,0.30067177631335706,1.4207086928608372,0.16160796784568143,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
GERMANY,primary,12,VAR-Ridge,VAR,Ridge,51,3.158346718302075,0.3419792195157709,0.8306542479944093,0.41011795266199025,0.9412256407512285,0.3511146504300089,1.1129876853755507,0.2710360677319321,tie,tie,tie,False,False,False,False,True,True,primary_hmulti_vr,"D-051,D-060,D-068,D-070"
USA,secondary,1,ARIMA-Ridge,ARIMA,Ridge,58,-0.24304399321222722,-0.11161750883734245,-1.6626925759413071,0.101863989838483,-1.6772141841967803,0.09897687531217159,-1.5336938047992024,0.1306372161041509,tie,tie,tie,False,False,False,False,True,False,usa_dual_form,"D-048,D-068,D-071"
