grouping_type,grouping_value,n_cells,n_sig_standard_1pct,n_sig_standard_5pct,n_sig_hac_5pct,n_sig_robust_5pct,arima_wins,var_wins,ridge_wins,ties,undefined,variant_agreement_rate
pair,ARIMA-Ridge,5,0,0,0,1,0,0,0,5,0,0.8
pair,ARIMA-VAR,4,1,2,2,3,2,0,0,2,0,0.75
pair,VAR-Ridge,16,1,3,3,5,0,0,3,13,0,0.875
country,GERMANY,6,0,0,0,2,0,0,0,6,0,0.6666666666666666
country,JAPAN,6,0,0,0,0,0,0,0,6,0,1.0
country,UK,6,2,3,3,3,1,0,2,3,0,1.0
country,USA,7,0,2,2,4,1,0,1,5,0,0.7142857142857143
horizon,1,13,2,3,3,6,2,0,1,10,0,0.7692307692307693
horizon,3,4,0,2,2,2,0,0,2,2,0,1.0
horizon,6,4,0,0,0,0,0,0,0,4,0,1.0
horizon,12,4,0,0,0,1,0,0,0,4,0,0.75
scope,beta_option,24,2,5,5,9,2,0,3,19,0,0.8333333333333334
scope,usa_dual_form,1,0,0,0,0,0,0,0,1,0,1.0
overall,all,25,2,5,5,9,2,0,3,20,0,0.84
