country,form,h,pair,layer_1,layer_2,n_excluded_1,n_excluded_2,n_paired,d_mean_squared,d_mean_absolute,dm_standard,p_standard,dm_hac,p_hac,dm_robust,p_robust,winner_standard_5pct,winner_hac_5pct,winner_robust_5pct,beta_option,dm_scope
USA,primary,1,ARIMA-VAR,ARIMA,VAR,6,6,52,-3.468350042278741,-0.765957085646881,-2.068563575765786,0.04367491460644457,-2.0887451617301966,0.04174066328179982,-3.4611879900690976,0.0010963684916172056,ARIMA,ARIMA,ARIMA,True,primary_h1_3way
USA,primary,1,ARIMA-Ridge,ARIMA,Ridge,6,6,52,-0.6060221059841226,-0.41645731547887216,-3.426636978580575,0.0012158859247544118,-3.4600683749187082,0.0011000596473380586,-5.5299386319504675,1.1065275613564296e-06,ARIMA,ARIMA,ARIMA,True,primary_h1_3way
USA,primary,1,VAR-Ridge,VAR,Ridge,6,6,52,2.8623279362946175,0.34949977016800865,1.717286378953852,0.091994494770961,1.7340407891583045,0.08895251711938812,1.5552769928013144,0.12606446163505525,tie,tie,tie,True,primary_h1_3way
USA,primary,3,VAR-Ridge,VAR,Ridge,6,6,52,26.52384136901464,1.2908509662574787,1.9823470160202181,0.05284054183120612,1.7394013636748291,0.08799703302155604,1.9228136966397984,0.0600962417876485,tie,tie,tie,True,primary_hmulti_vr
USA,primary,6,VAR-Ridge,VAR,Ridge,6,6,52,93.98089933988146,2.1561785177091015,1.3420961346425075,0.18550937291510627,1.2282601170688858,0.2249875812102442,1.4803328886100948,0.1449360104394115,tie,tie,tie,True,primary_hmulti_vr
USA,primary,12,VAR-Ridge,VAR,Ridge,6,6,52,126.79401485182463,3.532227163913664,1.4222708889875446,0.16103519011412915,1.5711619386913147,0.12232913847056048,2.2081545866771095,0.03175554699227612,tie,tie,Ridge,True,primary_hmulti_vr
JAPAN,primary,1,ARIMA-VAR,ARIMA,VAR,6,6,52,0.01338825560892314,0.03332425185614917,0.6334173032578397,0.5292916315964957,0.6395971306060569,0.5252973258650877,1.4079577800442082,0.16521020540362508,tie,tie,tie,True,primary_h1_3way
JAPAN,primary,1,ARIMA-Ridge,ARIMA,Ridge,6,6,52,-0.0014958121139767877,-0.006804275421092788,-0.17213454447463966,0.8640130131527788,-0.17381394565305092,0.8626997759098551,-0.5932636221213107,0.5556267275608158,tie,tie,tie,True,primary_h1_3way
JAPAN,primary,1,VAR-Ridge,VAR,Ridge,6,6,52,-0.014884067722899927,-0.04012852727724196,-0.6837971408304934,0.4971985463673838,-0.690468490428622,0.49303015198747735,-1.4879562090275305,0.14291992467613523,tie,tie,tie,True,primary_h1_3way
JAPAN,primary,3,VAR-Ridge,VAR,Ridge,6,6,52,-0.023750167803015802,-0.04256778410083562,-1.2936251305593713,0.20162331072319462,-1.6207911053850157,0.11122979598091143,-1.6711697566232266,0.1008142404133221,tie,tie,tie,True,primary_hmulti_vr
JAPAN,primary,6,VAR-Ridge,VAR,Ridge,6,6,52,-0.034648208634569334,-0.060118326818336905,-1.7545366582497028,0.08534517847619139,-2.830749254353903,0.006628622473059842,-2.371780835320156,0.02151505601225434,tie,VAR,VAR,True,primary_hmulti_vr
JAPAN,primary,12,VAR-Ridge,VAR,Ridge,6,6,52,-0.019099047147789164,-0.028536049989553204,-0.7731479251037944,0.443003633339782,-1.3242451049960093,0.1913259571983168,-0.9074182485552522,0.3684534589312911,tie,tie,tie,True,primary_hmulti_vr
UK,primary,1,ARIMA-VAR,ARIMA,VAR,6,6,45,-0.43093373347365177,-0.22076038370493153,-2.3435030879962544,0.02368638288228886,-2.369984189413887,0.022238196117272624,-2.4893399302410035,0.01665143856997675,ARIMA,ARIMA,ARIMA,True,primary_h1_3way
UK,primary,1,ARIMA-Ridge,ARIMA,Ridge,6,6,45,-0.054898475693436095,-0.07372540801785452,-1.7624003038975609,0.08494737946974995,-1.7823150637393674,0.08159909300122914,-2.372974872524075,0.022079750267895326,tie,tie,ARIMA,True,primary_h1_3way
UK,primary,1,VAR-Ridge,VAR,Ridge,6,6,45,0.3760352577802157,0.14703497568707707,1.979072177325962,0.05408704239049844,2.0014352846369894,0.05153606290270596,1.6149475193226945,0.11347129750056806,tie,tie,tie,True,primary_h1_3way
UK,primary,3,VAR-Ridge,VAR,Ridge,6,6,45,0.571700761158341,0.2560297449132734,1.8840086792767152,0.06618195349649336,1.756762358819806,0.08591590963184448,2.403219032412497,0.020533587139388576,tie,tie,Ridge,True,primary_hmulti_vr
UK,primary,6,VAR-Ridge,VAR,Ridge,6,6,45,1.2993069725348423,0.4154029408339714,1.8143161247588255,0.07645104307408723,1.610723191224659,0.11439169062321475,2.636044011182713,0.011543108751451037,tie,tie,Ridge,True,primary_hmulti_vr
UK,primary,12,VAR-Ridge,VAR,Ridge,6,6,45,99.29420509622287,1.9576060956393693,0.7616013325498795,0.45036099527174067,0.7896763969333085,0.4339518820702577,0.9961033512729885,0.32464663406753447,tie,tie,tie,True,primary_hmulti_vr
